learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,resource,elapsed_time
training,1.9kW,random,1,1,0,0,1,50.00052778,1.9,0,25.00791667,12.50395833,0,0,0,0,10
training,11.5kW,random,1,1,0,0,1,50.00319444,11.5,0,25.04791667,12.52395833,0,0,0,0,10
training,120.0kW,random,1,1,0,0,0,50,120,0,25.5,12.75,0,0,0,0,10
training,2.8kW,random,1,1,0,0,1,50.00077778,2.8,0,25.01166667,12.50583333,0,0,0,0,10
training,7.7kW,random,1,1,0,0,1,50.00213889,7.7,0,25.03208333,12.51604167,0,0,0,0,10
training,1.9kW,random,2,1,0.088649064,0.072812133,508,50.49245086,1.9,252.027976,25.13600833,138.5819922,0.284009657,54.2,18.3,36.25,518
training,11.5kW,random,2,1,0.007007878,0.080736019,508,53.19402926,11.5,263.6827024,25.82320833,144.7529554,0.206682384,46.8,18.3,32.55,518
training,120.0kW,random,2,1,0.125587568,0.085728534,508,83.56523503,120,268.199628,33.57333333,150.8864807,0.246365945,8.3,18.3,13.3,518
training,2.8kW,random,2,0,0,0,0,50.78477778,2.8,0,25.20043333,12.60021667,0,79.3,18.3,48.8,518
training,250.0kW,random,2,0,0,0,0,100,250,0,42.86111111,21.43055556,0,0,0,0,518
training,7.7kW,random,2,1,0.128188297,0.068414092,508,52.12429712,7.7,240.8975672,25.55119167,133.2243794,0.239823542,50.8,18.3,34.55,518
training,1.9kW,random,3,1,0.876746893,0.008917389,587,51.0643287,1.9,88.19942279,25.40308099,56.80125189,0.27008482,71.2,18.8,45,1106
training,11.5kW,random,3,1,0.346952975,0.04378299,587,56.88271226,11.5,194.1782965,27.54640352,110.86235,0.24061534,26.5,18.8,22.65,1106
training,120.0kW,random,3,1,0.645118356,0.023878448,587,100,120,141.5462992,50.24,95.89314961,0.252571161,8.7,18.8,13.75,1106
training,2.8kW,random,3,1,0.849208355,0.010582736,587,51.65972342,2.8,94.53975829,25.62354444,60.08165137,0.20067407,22.1,18.8,20.45,1106
training,250.0kW,random,3,0,0,0,0,100,250,0,50.5,25.25,0,7.5,18.8,13.15,1106
training,7.7kW,random,3,0,0,0,0,54.62038046,7.7,0,26.69782634,13.34891317,0,84.7,18.7,51.7,1106
training,1.9kW,random,4,0,0,0,0,51.67602314,1.9,0,25.68796435,12.84398217,0,85.7,18.8,52.25,1689
training,11.5kW,random,4,0,0,0,0,60.58507337,11.5,0,29.38435613,14.69217807,0,34.4,18.8,26.6,1689
training,120.0kW,random,4,1,0.767843544,0.016333083,583,100,120,117.0656697,50.24,83.65283487,0.264719677,8.5,18.8,13.65,1689
training,2.8kW,random,4,1,0.899785876,0.006870305,583,52.51743647,2.8,76.1734298,26.05946171,51.11644576,0.27003948,21.3,18.8,20.05,1689
training,250.0kW,random,4,1,0.93811512,0.005939372,583,100,250,71.98088014,50.5,61.24044007,0.269516273,73.7,18.8,46.25,1689
training,7.7kW,random,4,1,0.890959442,0.005954757,583,57.05464508,7.7,71.07087251,27.94159023,49.50623137,0.276067519,44.6,18.8,31.7,1689
training,1.9kW,random,5,0,0,0,0,52.28877314,1.9,0,25.99407546,12.99703773,0,65.2,18.8,42,2273
training,11.5kW,random,5,0,0,0,0,64.29382337,11.5,0,31.23713391,15.61856695,0,58.4,18.8,38.6,2273
training,120.0kW,random,5,1,0.814706326,0.013180955,584,100,120,105.164441,50.24,77.70222048,0.264272039,8.9,18.8,13.85,2273
training,2.8kW,random,5,1,0.917221367,0.005702363,584,53.38217006,2.8,69.39735788,26.48870713,47.9430325,0.235888856,22,18.8,20.4,2273
training,250.0kW,random,5,1,0.94377923,0.005062001,584,100,250,66.45198863,50.5,58.47599431,0.298598203,68.9,18.8,43.85,2273
training,7.7kW,random,5,1,0.899080157,0.005581451,584,59.50050683,7.7,68.80708742,29.15979198,48.9834397,0.230475475,45.7,18.8,32.25,2273
training,1.9kW,random,6,1,0.911264002,0.00523733,583,52.8573402,1.9,67.59302064,26.29992268,46.94647166,0.263050743,49.4,18.9,34.15,2855
training,11.5kW,random,6,1,0.501403928,0.033779167,583,67.95585896,11.5,170.5581363,33.08831446,101.8232254,0.229282809,25.3,18.8,22.05,2855
training,120.0kW,random,6,0,0,0,0,100,120,0,50.24,25.12,0,23.8,18.8,21.3,2855
training,2.8kW,random,6,1,0.920596957,0.005309587,583,54.2364563,2.8,66.96469516,26.92029614,46.94249565,0.286397144,8.5,18.8,13.65,2855
training,250.0kW,random,6,1,0.94273746,0.004632234,583,100,250,63.5685206,50.5,57.0342603,0.23948496,44.6,18.8,31.7,2855
training,7.7kW,random,6,0,0,0,0,61.97734017,7.7,0,30.38058397,15.19029199,0,92.5,18.8,55.65,2855
training,1.9kW,random,7,1,0.916815817,0.005094801,583,53.42820491,1.9,66.66693244,26.58420621,46.62556933,0.24886287,74.3,18.9,46.6,3439
training,11.5kW,random,7,0,0,0,0,71.65502563,11.5,0,34.91933226,17.45966613,0,70.4,18.8,44.6,3439
training,120.0kW,random,7,1,0.853079736,0.010658215,583,100,120,94.56658542,50.24,72.40329271,0.226233733,8.3,18.9,13.6,3439
