,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,oort,1,1,0,0,22,50.01161111111111,1.9,0.0,25.339285714285715,12.669642857142858,0,0,0,30
1,training,2.8kW,oort,1,1,0,0,2,50.001555555555555,2.8,0.0,25.5,12.75,0,0,0,30
0,evaluation,1.9kW,oort,1,0,0.8937336884364825,0.01805584505200386,0,50.14408333333333,1.9,123.48790448042041,25.009605555555552,74.24875501798797,0,55.3,13.4,281
1,evaluation,2.8kW,oort,1,0,0.8616112825975449,0.019505701959133148,0,50.196777777777775,2.8,127.93113875449724,25.00637777777778,76.46875826613751,0,7.7,13.4,281
2,evaluation,7.7kW,oort,1,0,0.0,0.0,0,50.489805555555556,7.7,0.0,25.0154,12.5077,0,0.0,0.0,281
3,evaluation,11.5kW,oort,1,0,0.0,0.0,0,50.66763888888889,11.5,0.0,25.023,12.5115,0,0.0,0.0,281
4,evaluation,120.0kW,oort,1,0,0.0,0.0,0,56.3,120.0,0.0,25.24,12.62,0,0.0,0.0,281
5,evaluation,250.0kW,oort,1,0,0.0,0.0,0,61.736111111111114,250.0,0.0,25.5,12.75,0,0.0,0.0,281
0,training,1.9kW,oort,2,1,2.700671939237509e-05,0.10191810131072998,269,50.26782338565043,1.9,293.38720756210796,25.075841666666662,159.2315246143873,0.243999299845441,40.3,14.1,298
1,training,2.8kW,oort,2,1,0.0006397643010132015,0.1064351499080658,269,50.38968415768012,2.8,298.8395073300417,25.10398888888889,161.9717481094653,0.21835328011732916,13.3,14.1,298
2,training,7.7kW,oort,2,0,0.0,0.0,0,51.01811111111111,7.7,0.0,25.260302777777778,12.630151388888889,0.0,0.0,0.0,298
3,training,11.5kW,oort,2,0,0.0,0.0,0,51.39277777777777,11.5,0.0,25.356819444444444,12.678409722222222,0.0,0.0,0.0,298
4,training,120.0kW,oort,2,1,0.0,0.09493380039930344,207,63.186481948560704,120.0,285.9291345125112,28.389999999999997,157.1595672562556,0.23509654677025962,0.1,14.2,298
5,training,250.0kW,oort,2,1,0.0,0.09259152412414551,187,74.7070872216223,250.0,280.2497582774859,31.368055555555557,155.80890691652073,0.2913689955065557,48.4,14.2,298
0,evaluation,1.9kW,oort,2,0,0.9083602432915611,0.0073888045735657215,0,50.580267830094876,1.9,78.99554531399374,25.137711692825214,52.066628503409476,0,84.3,15.1,891
1,evaluation,2.8kW,oort,2,0,0.9096045054281136,0.008948221802711487,0,50.85012860212456,2.8,86.64905765728724,25.200442078840062,55.92474986806366,0,76.1,15.2,891
2,evaluation,7.7kW,oort,2,0,0.9280376299070787,0.007002863101661205,0,52.284333333333336,7.7,78.16002586944788,25.524455555555555,51.84224071250172,0,5.5,15.2,891
3,evaluation,11.5kW,oort,2,0,0.9339690903383181,0.007328631356358528,0,53.28388888888888,11.5,79.95733572041718,25.719388888888886,52.83836230465303,0,53.4,15.2,891
4,evaluation,120.0kW,oort,2,0,0.8519656295328973,0.0157157089561224,0,82.91981528189405,120.0,116.33622437430789,31.83324097428035,74.08473267429412,0,83.6,15.2,891
5,evaluation,250.0kW,oort,2,0,0.9340089081465407,0.00807712972164154,0,100.0,250.0,82.77289769130317,37.85354361081115,60.313220651057165,0,72.3,15.2,891
0,training,1.9kW,oort,3,0,0.0,0.0,0,50.896934496761546,1.9,0.0,25.293933915047436,12.646966957523718,0.0,84.3,15.1,898
1,training,2.8kW,oort,3,1,0.686991810798645,0.025767304003238678,600,51.27314015792541,2.8,147.0381278027622,25.430664301062283,86.23439605191224,0.26193066519490527,7.6,15.2,898
2,training,7.7kW,oort,3,0,0.0,0.0,0,53.56766666666667,7.7,0.0,26.157566666666668,13.078783333333334,0.0,5.5,15.2,898
3,training,11.5kW,oort,3,1,0.7979872226715088,0.01207913551479578,600,55.16550189281918,11.5,102.65138255837175,26.66494444444444,64.6581635014081,0.21032197641821004,76.4,15.2,898
4,training,120.0kW,oort,3,1,0.16818135976791382,0.06267163902521133,600,100.0,120.0,232.31834361988635,41.699907640947025,137.0091256304167,0.22128281339757175,44.7,15.2,898
5,training,250.0kW,oort,3,1,0.8310187458992004,0.011492384597659111,600,100.0,250.0,98.73353940532549,50.5,74.61676970266274,0.22514725118798873,10.8,15.2,898
0,evaluation,1.9kW,oort,3,0,0.9359953725641126,0.006143763195723295,0,51.20726783009488,1.9,72.03320615065847,25.45226724838077,48.742736699519625,0,6.4,15.2,1486
1,evaluation,2.8kW,oort,3,0,0.9214135137836089,0.007559222634881735,0,51.73047349125874,2.8,79.64051172068979,25.642170078962707,52.64134089982625,0,32.3,15.2,1486
2,evaluation,7.7kW,oort,3,0,0.9442634975714346,0.00579978758469224,0,54.82533333333333,7.7,71.13001826396352,26.799233333333333,48.96462579864843,0,83.6,15.2,1486
3,evaluation,11.5kW,oort,3,0,0.9358262349637045,0.006201870273798704,0,57.04383522615251,11.5,73.55432512483506,27.60575094640959,50.58003803562232,0,86.0,15.2,1486
4,evaluation,120.0kW,oort,3,0,0.866410203767479,0.013179933652281761,0,100.0,120.0,106.53801191315058,50.24,78.38900595657529,0,86.5,15.2,1486
5,evaluation,250.0kW,oort,3,0,0.9384842540675692,0.0065293582156300545,0,100.0,250.0,74.4208931831932,50.5,62.4604465915966,0,83.9,15.2,1486
0,training,1.9kW,oort,4,0,0.0,0.0,0,51.521823385650436,1.9,0.0,25.607433915047437,12.803716957523719,0.0,6.4,15.2,1494
1,training,2.8kW,oort,4,1,0.7402384281158447,0.01778864488005638,596,52.157526575716844,2.8,122.17065612691367,25.870836745629372,74.02074643627152,0.22048472474973288,7.6,15.2,1494
