,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,oort,1,1,0,0,22,50.01161111111111,1.9,0.0,50.0,25.0,0,0,0,30
1,training,2.8kW,oort,1,1,0,0,3,50.00233333333333,2.8,0.0,50.0,25.0,0,0,0,30
0,evaluation,1.9kW,oort,1,0,0.8930146626663839,0.01719445176422596,0,50.14144444444444,1.9,120.50627940670329,50.01161111111111,85.2589452589072,0,6.7,13.5,276
1,evaluation,2.8kW,oort,1,0,0.870820817103121,0.018876928836107254,0,50.193666666666665,2.8,125.85229597233739,50.00233333333333,87.92731465283536,0,57.2,13.5,276
2,evaluation,7.7kW,oort,1,0,0.0,0.0,0,50.48125,7.7,0.0,50.0,25.0,0,0.0,0.0,276
3,evaluation,11.5kW,oort,1,0,0.0,0.0,0,50.65486111111111,11.5,0.0,50.0,25.0,0,0.0,0.0,276
4,evaluation,120.0kW,oort,1,0,0.0,0.0,0,56.13333333333333,120.0,0.0,50.0,25.0,0,0.0,0.0,276
5,evaluation,250.0kW,oort,1,0,0.0,0.0,0,61.388888888888886,250.0,0.0,50.0,25.0,0,0.0,0.0,276
0,training,1.9kW,oort,2,1,0.0575811006128788,0.061711084097623825,261,50.26005220759848,1.9,228.2953676634138,50.14144444444444,139.21840605392913,0.26403085304769325,45.9,14.1,291
1,training,2.8kW,oort,2,1,0.11800330877304077,0.06668724864721298,261,50.378583866134406,2.8,236.5466890508847,50.193666666666665,143.3701778587757,0.24941793837603277,13.7,14.2,291
2,training,7.7kW,oort,2,1,0.09508832544088364,0.05854741483926773,240,50.97682646536458,7.7,225.99599248553997,50.48125,138.23862124277,0.26635301953137,0.0,14.3,291
3,training,11.5kW,oort,2,1,4.1485709516564384e-05,0.07392331212759018,220,51.3439531325847,11.5,253.94378290160216,50.65486111111111,152.29932200635665,0.22394873952302202,0.8,14.3,291
4,training,120.0kW,oort,2,0,0.0,0.0,0,62.766666666666666,120.0,0.0,56.13333333333333,28.066666666666666,0.0,0.0,0.0,291
5,training,250.0kW,oort,2,0,0.0,0.0,0,73.81944444444444,250.0,0.0,61.388888888888886,30.694444444444443,0.0,0.0,0.0,291
0,evaluation,1.9kW,oort,2,0,0.9315261488392602,0.007331854663789272,0,50.56985776315403,1.9,78.69052361437514,50.26005220759848,64.47528791098681,0,85.1,15.2,877
1,evaluation,2.8kW,oort,2,0,0.9091460615457302,0.008609388023614883,0,50.83513942168996,2.8,84.99269778952902,50.378583866134406,67.68564082783172,0,79.5,15.2,877
2,evaluation,7.7kW,oort,2,0,0.9291795534639506,0.007077808026224375,0,52.23235424314236,7.7,78.57714870447381,50.97682646536458,64.7769875849192,0,82.7,15.2,877
3,evaluation,11.5kW,oort,2,0,0.9301701148879663,0.007622275967150927,0,53.21909202147359,11.5,81.5434741325136,51.3439531325847,66.44371363254915,0,71.8,15.2,877
4,evaluation,120.0kW,oort,2,0,0.8540559598239433,0.015089358203113079,0,82.33333333333333,120.0,113.99435887266411,62.766666666666666,88.38051276966539,0,7.0,15.2,877
