,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,oort,1,1,0,0,22,50.01161111111111,1.9,0.0,50.0,50.0,0,0,0,30
1,training,2.8kW,oort,1,1,0,0,2,50.001555555555555,2.8,0.0,50.0,50.0,0,0,0,30
0,evaluation,1.9kW,oort,1,0,0.8856812436513545,0.019329136237502098,0,50.1425,1.9,127.7678935800423,50.01161111111111,50.01161111111111,0,53.5,14.3,278
1,evaluation,2.8kW,oort,1,0,0.8580759368533207,0.02036070078611374,0,50.19444444444444,2.8,130.70488957492543,50.001555555555555,50.001555555555555,0,7.1,14.3,278
2,evaluation,7.7kW,oort,1,0,0.0,0.0,0,50.48338888888889,7.7,0.0,50.0,50.0,0,0.0,0.0,278
3,evaluation,11.5kW,oort,1,0,0.0,0.0,0,50.658055555555556,11.5,0.0,50.0,50.0,0,0.0,0.0,278
4,evaluation,120.0kW,oort,1,0,0.0,0.0,0,56.2,120.0,0.0,50.0,50.0,0,0.0,0.0,278
5,evaluation,250.0kW,oort,1,0,0.0,0.0,0,61.458333333333336,250.0,0.0,50.0,50.0,0,0.0,0.0,278
0,training,1.9kW,oort,2,1,0.019141824916005135,0.08616045862436295,265,50.26699480533195,1.9,269.75500569266666,50.1425,50.1425,0.20874981435840098,26.3,15.0,294
1,training,2.8kW,oort,2,1,0.05916951224207878,0.1016029566526413,265,50.383757072192026,2.8,291.97700319911945,50.19444444444444,50.19444444444444,0.22820581173100926,14.9,15.1,294
2,training,7.7kW,oort,2,1,0.048317838460206985,0.08759653568267822,243,50.986879976658024,7.7,276.43328938823277,50.48338888888889,50.48338888888889,0.2408727737906442,0.1,15.1,294
3,training,11.5kW,oort,2,1,0.0,0.08382130414247513,223,51.35645263511033,11.5,270.41083113757304,50.658055555555556,50.658055555555556,0.2254283121203242,0.7,15.1,294
4,training,120.0kW,oort,2,0,0.0,0.0,0,62.96666666666667,120.0,0.0,56.2,56.2,0.0,0.0,0.0,294
5,training,250.0kW,oort,2,0,0.0,0.0,0,74.09722222222223,250.0,0.0,61.458333333333336,61.458333333333336,0.0,0.0,0.0,294
0,evaluation,1.9kW,oort,2,0,0.9191633839416348,0.006940416991710663,0,50.57521702755417,1.9,76.56112273821583,50.26699480533195,50.26699480533195,0,91.2,16.0,879
1,evaluation,2.8kW,oort,2,0,0.8979788720782039,0.008762569166719913,0,50.83797929441425,2.8,85.74547355255172,50.383757072192026,50.383757072192026,0,80.2,16.0,879
2,evaluation,7.7kW,oort,2,0,0.9364034062419337,0.006602016277611256,0,52.235991087769136,7.7,75.89010812926705,50.986879976658024,50.986879976658024,0,83.0,16.0,879
3,evaluation,11.5kW,oort,2,0,0.9344467404167446,0.0071734655648469925,0,53.22200819066588,11.5,79.1063570535748,51.35645263511033,51.35645263511033,0,68.5,16.0,879
4,evaluation,120.0kW,oort,2,0,0.8514417922086571,0.015505603514611721,0,82.43333333333334,120.0,115.55595033198152,62.96666666666667,62.96666666666667,0,7.4,16.0,879
