,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,oort,1,1,0,0,22,50.01161111111111,1.9,0.0,25.339285714285715,0.0,0,0,0,30
1,training,2.8kW,oort,1,1,0,0,3,50.00233333333333,2.8,0.0,25.5,0.0,0,0,0,30
0,evaluation,1.9kW,oort,1,0,0.8938566216373905,0.01998613215982914,0,50.13986111111111,1.9,129.92115979715336,25.009605555555552,129.92115979715336,0,55.9,14.5,273
1,evaluation,2.8kW,oort,1,0,0.8674745197257322,0.02160181663930416,0,50.19133333333333,2.8,134.62961732883292,25.006766666666667,134.62961732883292,0,7.9,14.5,273
2,evaluation,7.7kW,oort,1,0,0.0,0.0,0,50.474833333333336,7.7,0.0,25.0154,0.0,0,0.0,0.0,273
3,evaluation,11.5kW,oort,1,0,0.0,0.0,0,50.64208333333333,11.5,0.0,25.023,0.0,0,0.0,0.0,273
4,evaluation,120.0kW,oort,1,0,0.0,0.0,0,56.03333333333333,120.0,0.0,25.24,0.0,0,0.0,0.0,273
5,evaluation,250.0kW,oort,1,0,0.0,0.0,0,61.18055555555556,250.0,0.0,25.5,0.0,0,0.0,0.0,273
0,training,1.9kW,oort,2,1,0.31618696451187134,0.05841783061623573,259,50.259395012913096,1.9,222.120285978293,25.073730555555553,222.120285978293,0.23852491703799508,31.2,15.3,289
1,training,2.8kW,oort,2,1,0.30466213822364807,0.06539449840784073,259,50.37349999875143,2.8,234.24270801049326,25.101266666666668,234.24270801049326,0.26795368530842156,18.9,15.3,289
2,training,7.7kW,oort,2,1,0.3609108328819275,0.05557110533118248,238,50.96931062104295,7.7,220.17671802960692,25.252816666666668,220.17671802960692,0.22051161447639284,0.1,15.4,289
3,training,11.5kW,oort,2,1,0.1278277486562729,0.0674264207482338,217,51.32314164496042,11.5,242.52802456261884,25.344041666666666,242.52802456261884,0.20133676563353403,50.5,15.4,289
4,training,120.0kW,oort,2,0,0.0,0.0,0,62.599999999999994,120.0,0.0,28.256666666666664,0.0,0.0,0.0,0.0,289
5,training,250.0kW,oort,2,0,0.0,0.0,0,73.47222222222223,250.0,0.0,31.09027777777778,0.0,0.0,0.0,0.0,289
0,evaluation,1.9kW,oort,2,0,0.9245767555732334,0.00702331680804491,0,50.5681450129131,1.9,77.01700764583896,25.133497506456546,77.01700764583896,0,93.3,16.2,874
1,evaluation,2.8kW,oort,2,0,0.9115786985502684,0.00873462576419115,0,50.828499998751425,2.8,85.60864532977477,25.192349999375715,85.60864532977477,0,85.2,16.2,874
2,evaluation,7.7kW,oort,2,0,0.9379043832842967,0.006705998443067074,0,52.22056062104295,7.7,76.48541022835806,25.500055310521475,76.48541022835806,0,86.1,16.2,874
3,evaluation,11.5kW,oort,2,0,0.9293551830875885,0.006936682388186455,0,53.19189164496042,11.5,77.78982260828715,25.68457082248021,77.78982260828715,0,79.3,16.2,874
4,evaluation,120.0kW,oort,2,0,0.8437048226580095,0.014833878725767136,0,82.1,120.0,113.02521407443139,31.539999999999996,113.02521407443139,0,7.9,16.2,874
5,evaluation,250.0kW,oort,2,0,0.9354606154552366,0.007535395212471485,0,100.0,250.0,79.94892851328294,37.236111111111114,79.94892851328294,0,48.9,16.2,874
0,training,1.9kW,oort,3,0,0.0,0.0,0,50.88111723513532,1.9,0.0,25.287872506456548,0.0,0.0,93.3,16.2,882
1,training,2.8kW,oort,3,1,0.7462435960769653,0.01717669889330864,593,51.25203720269644,2.8,120.0508736603944,25.419849999375714,120.0508736603944,0.22877920033383,7.9,16.3,882
2,training,7.7kW,oort,3,0,0.0,0.0,0,53.48892173215406,7.7,0.0,26.125680310521474,0.0,0.0,86.1,16.2,882
3,training,11.5kW,oort,3,1,0.8755340576171875,0.007921851240098476,593,55.04765697826403,11.5,83.13046649939687,26.61894582248021,83.13046649939687,0.23397099512140615,72.4,16.3,882
4,training,120.0kW,oort,3,1,0.2690807282924652,0.05367492511868477,593,100.0,120.0,214.9976435066427,41.29,214.9976435066427,0.24516275470025448,49.0,16.3,882
5,training,250.0kW,oort,3,1,0.885883629322052,0.0076972730457782745,593,100.0,250.0,80.80310999970241,50.5,80.80310999970241,0.2655231312298508,12.9,16.3,882
0,evaluation,1.9kW,oort,3,0,0.9375449029318785,0.0056182611733675,0,51.18828390180199,1.9,68.88370108262497,25.44435861756766,68.88370108262497,0,72.3,16.4,1463
1,evaluation,2.8kW,oort,3,0,0.9222648364164332,0.007093401160091162,0,51.70470386936311,2.8,77.14765585409222,25.631618601348222,77.14765585409222,0,8.0,16.4,1463
2,evaluation,7.7kW,oort,3,0,0.9494356567388603,0.005364830605685711,0,54.733755065487394,7.7,68.41083370237176,26.75986086607703,68.41083370237176,0,78.4,16.4,1463
3,evaluation,11.5kW,oort,3,0,0.9426887871851738,0.006073765456676483,0,56.9068236449307,11.5,72.79069816071605,27.546828489132015,72.79069816071605,0,52.6,16.4,1463
