learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
training,1.9kW,Proposed,1,1,0.0,0.0,22,50.01161111111111,1.9,0.0,0.986842105263158,0.4934210526315789,0.0,0.0,0.0,30
training,2.8kW,Proposed,1,1,0.0,0.0,3,50.00233333333333,2.8,0.0,0.75,0.375,0.0,0.0,0.0,30
evaluation,1.9kW,Proposed,1,0,0.8906289159886102,0.0193533357232809,0,50.13986111111111,1.9,127.8478493045145,66.03953173976608,96.94369052214029,0.0,55.4,14.1,272
evaluation,2.8kW,Proposed,1,0,0.8640052763028215,0.0203194227069616,0,50.19133333333333,2.8,130.57233067848793,44.89286880952382,87.73259974400588,0.0,8.2,14.1,272
evaluation,7.7kW,Proposed,1,0,0.0,0.0,0,50.474833333333336,7.7,0.0,16.483766233766232,8.241883116883116,0.0,0.0,0.0,272
evaluation,11.5kW,Proposed,1,0,0.0,0.0,0,50.64527777777778,11.5,0.0,11.119565217391305,5.559782608695652,0.0,0.0,0.0,272
evaluation,120.0kW,Proposed,1,0,0.0,0.0,0,56.03333333333333,120.0,0.0,1.2916666666666667,0.6458333333333334,0.0,0.0,0.0,272
evaluation,250.0kW,Proposed,1,0,0.0,0.0,0,61.25,250.0,0.0,0.75,0.375,0.0,0.0,0.0,272
training,1.9kW,Proposed,2,1,3.651440056273714e-05,0.0824241340160369,259,50.25665886318342,1.9,263.8412572906637,66.04017298976608,164.94071514021488,0.2765563418520912,16.4,14.8,289
training,2.8kW,Proposed,2,1,0.0035644446033984,0.1000092476606369,259,50.37677908190152,2.8,289.6780269629427,44.89381380952382,167.28592038623324,0.2223756955774361,22.9,14.8,289
training,7.7kW,Proposed,2,1,0.0004403909551911,0.0799587368965148,238,50.96412224451558,7.7,264.106955387578,16.486140400432898,140.29654789400544,0.2989912594282195,13.7,14.9,289
training,11.5kW,Proposed,2,1,0.0,0.0936178788542747,218,51.32643493241108,11.5,285.7763431878148,11.122791606280192,148.4495673970475,0.2515332262390475,0.2,14.9,289
training,120.0kW,Proposed,2,0,0.0,0.0,0,62.6,120.0,0.0,1.3218333333333334,0.6609166666666667,0.0,0.0,0.0,289
training,250.0kW,Proposed,2,0,0.0,0.0,0,73.61111111111111,250.0,0.0,0.80625,0.403125,0.0,0.0,0.0,289
evaluation,1.9kW,Proposed,2,0,0.9236989968815278,0.0073037217371165,0,50.5659366409612,1.9,78.53940752272653,66.04075697852643,72.29008225062648,0.0,90.8,15.8,874
