learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
training,1.9kW,Proposed,1,1,0.0,0.0,22,50.01161111111111,1.9,0.0,1.4736842105263157,0.7368421052631579,0.0,0.0,0.0,30
training,2.8kW,Proposed,1,1,0.0,0.0,2,50.00155555555556,2.8,0.0,1.0,0.5,0.0,0.0,0.0,30
evaluation,1.9kW,Proposed,1,0,0.8849697278852195,0.0188455358147621,0,50.14091666666666,1.9,126.15944107854676,131.57894736842104,128.8691942234839,0.0,5.5,14.3,275
evaluation,2.8kW,Proposed,1,0,0.8618577297865228,0.0205947421491146,0,50.19211111111111,2.8,131.45395379625333,89.2857142857143,110.36983404098382,0.0,57.5,14.3,275
evaluation,7.7kW,Proposed,1,0,0.0,0.0,0,50.47911111111111,7.7,0.0,32.467532467532465,16.233766233766232,0.0,0.0,0.0,275
evaluation,11.5kW,Proposed,1,0,0.0,0.0,0,50.65166666666666,11.5,0.0,21.73913043478261,10.869565217391305,0.0,0.0,0.0,275
evaluation,120.0kW,Proposed,1,0,0.0,0.0,0,56.1,120.0,0.0,2.083333333333333,1.0416666666666667,0.0,0.0,0.0,275
evaluation,250.0kW,Proposed,1,0,0.0,0.0,0,61.31944444444444,250.0,0.0,1.0,0.5,0.0,0.0,0.0,275
training,1.9kW,Proposed,2,1,0.0105597767978906,0.0849320739507675,261,50.25713024776244,1.9,267.8251618275142,131.57894736842104,199.7020545979676,0.2970540538513307,11.6,15.1,291
training,2.8kW,Proposed,2,1,0.0321487225592136,0.080187901854515,261,50.37509187594522,2.8,259.38801086103035,89.2857142857143,174.33686257337234,0.2761273815984407,28.4,15.0,291
training,7.7kW,Proposed,2,1,0.0143893659114837,0.0805270969867706,240,50.975812867098014,7.7,265.0439514853928,32.467532467532465,148.75574197646264,0.2494736601964197,13.8,15.1,291
training,11.5kW,Proposed,2,1,4.0113882278092206e-06,0.097841665148735,220,51.33991583432268,11.5,292.1519530013276,21.73913043478261,156.9455417180551,0.2377408929015141,0.4,15.1,291
training,120.0kW,Proposed,2,0,0.0,0.0,0,62.73333333333333,120.0,0.0,2.083333333333333,1.0416666666666667,0.0,0.0,0.0,291
