,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,proposed,1,1,0,0,22,50.01161111111111,1.9,0.0,0.5,0.25,0,0,0,30
1,training,2.8kW,proposed,1,1,0,0,2,50.001555555555555,2.8,0.0,0.5,0.25,0,0,0,30
0,evaluation,1.9kW,proposed,1,0,0.8819962903522307,0.020129235461354256,0,50.14355555555555,1.9,130.38545636104055,0.5001161111111111,65.44278623607583,0,51.0,13.4,279
1,evaluation,2.8kW,proposed,1,0,0.8302384019301186,0.0259696152061224,0,50.196,2.8,147.61423188970716,0.5000155555555555,74.05712372263136,0,7.7,13.4,279
2,evaluation,7.7kW,proposed,1,0,0.0,0.0,0,50.48766666666667,7.7,0.0,0.5,0.25,0,0.0,0.0,279
3,evaluation,11.5kW,proposed,1,0,0.0,0.0,0,50.66444444444444,11.5,0.0,0.5,0.25,0,0.0,0.0,279
4,evaluation,120.0kW,proposed,1,0,0.0,0.0,0,56.266666666666666,120.0,0.0,0.5,0.25,0,0.0,0.0,279
5,evaluation,250.0kW,proposed,1,0,0.0,0.0,0,61.666666666666664,250.0,0.0,0.5,0.25,0,0.0,0.0,279
0,training,1.9kW,proposed,2,1,0.34655386209487915,0.056292708963155746,268,50.26288431425869,1.9,218.0427173161988,0.5014355555555555,109.27207643587718,0.29707637562951317,28.3,14.1,298
1,training,2.8kW,proposed,2,1,0.32138267159461975,0.058310408145189285,268,50.38214784985607,2.8,221.19154101517972,0.50196,110.84675050758986,0.2995064944707621,14.5,14.1,298
2,training,7.7kW,proposed,2,1,0.3902818262577057,0.05524987354874611,246,50.999287931301026,7.7,219.53942399826497,0.5048766666666666,110.02215033246581,0.21285954193623094,43.8,14.3,298
3,training,11.5kW,proposed,2,1,0.11977218836545944,0.06963283568620682,226,51.37059640227912,11.5,246.4642408299359,0.5066444444444445,123.48544263719018,0.25156173360695466,0.2,14.3,298
4,training,120.0kW,proposed,2,0,0.0,0.0,0,63.13333333333333,120.0,0.0,0.5626666666666666,0.2813333333333333,0.0,0.0,0.0,298
5,training,250.0kW,proposed,2,0,0.0,0.0,0,74.58333333333333,250.0,0.0,0.6166666666666667,0.30833333333333335,0.0,0.0,0.0,298
0,evaluation,1.9kW,proposed,2,0,0.9322773089575719,0.007212660275399685,0,50.573217647592024,1.9,78.04826439359067,0.5026288431425869,39.27544661836663,0,86.4,15.2,885
1,evaluation,2.8kW,proposed,2,0,0.9032150784717973,0.008924349211156368,0,50.8394811831894,2.8,86.53339674204415,0.5038214784985606,43.518609110271356,0,81.3,15.2,885
2,evaluation,7.7kW,proposed,2,0,0.9322106153393747,0.006816529668867588,0,52.25695459796769,7.7,77.11316720129354,0.5099928793130103,38.81158004030327,0,67.4,15.2,885
3,evaluation,11.5kW,proposed,2,0,0.9327612072456706,0.0074598053470253944,0,53.24892973561245,11.5,80.66973381206661,0.5137059640227912,40.5917198880447,0,83.4,15.2,885
4,evaluation,120.0kW,proposed,2,0,0.8352385288757778,0.016071490943431854,0,82.73333333333333,120.0,117.64570054459458,0.6313333333333333,59.13851693896395,0,7.3,15.2,885
5,evaluation,250.0kW,proposed,2,0,0.9305293029123911,0.007458745967596769,0,100.0,250.0,79.54127317500173,0.7458333333333332,40.143553254167536,0,50.4,15.2,885
0,training,1.9kW,proposed,3,0,0.0,0.0,0,50.88777320314758,1.9,0.0,0.5057321764759203,0.25286608823796014,0.0,86.4,15.2,893
1,training,2.8kW,proposed,3,1,0.6489649415016174,0.024305125698447227,596,51.25474933478661,2.8,142.80532744977108,0.508394811831894,71.65686113080149,0.2916688829698688,7.7,15.3,893
2,training,7.7kW,proposed,3,0,0.0,0.0,0,53.53173237574547,7.7,0.0,0.5225695459796769,0.26128477298983843,0.0,67.4,15.2,893
3,training,11.5kW,proposed,3,1,0.8371743559837341,0.008935957215726376,596,55.1071526546846,11.5,88.29119940788095,0.5324892973561245,44.41184435261854,0.27583471701387674,76.0,15.3,893
4,training,120.0kW,proposed,3,1,0.2909963130950928,0.0544397234916687,596,100.0,120.0,216.52394517800846,0.8273333333333334,108.6756392556709,0.22850648000987253,50.2,15.3,893
5,training,250.0kW,proposed,3,1,0.8719950914382935,0.008771689608693123,596,100.0,250.0,86.25837214651956,1.0,43.62918607325978,0.21285924779481924,12.7,15.3,893
0,evaluation,1.9kW,proposed,3,0,0.942201060739408,0.005797518417239189,0,51.195467647592025,1.9,69.97398053549581,0.5088777320314758,35.241429133763646,0,59.9,15.3,1476
1,evaluation,2.8kW,proposed,3,0,0.925945115656836,0.007435162086039782,0,51.70819377923105,2.8,78.98428552100852,0.5125474933478661,39.74841650717819,0,8.1,15.3,1476
2,evaluation,7.7kW,proposed,3,0,0.9342533722944278,0.005725999362766743,0,54.77870459796769,7.7,70.67609143200934,0.5353173237574547,35.6057043778834,0,54.5,15.3,1476
3,evaluation,11.5kW,proposed,3,0,0.9419949455318819,0.006286094896495342,0,56.96951376579571,11.5,74.0520938227076,0.551071526546846,37.30158267462723,0,93.1,15.3,1476
4,evaluation,120.0kW,proposed,3,0,0.8790473290152883,0.012983966618776321,0,100.0,120.0,105.74301068450939,1.0,53.37150534225469,0,80.7,15.3,1476
5,evaluation,250.0kW,proposed,3,0,0.9447544979202548,0.006605823989957571,0,100.0,250.0,74.85539891728318,1.0,37.92769945864159,0,93.2,15.3,1476
0,training,1.9kW,proposed,4,0,0.0,0.0,0,51.507384314258694,1.9,0.0,0.5119546764759203,0.25597733823796015,0.0,59.9,15.3,1484
1,training,2.8kW,proposed,4,1,0.7169119715690613,0.01717228628695011,591,52.13080983724749,2.8,120.03545244128176,0.5170819377923105,60.27626718953704,0.22568898670186852,7.5,15.3,1484
2,training,7.7kW,proposed,4,0,0.0,0.0,0,56.04278793130102,7.7,0.0,0.5477870459796769,0.27389352298983843,0.0,54.5,15.3,1484
3,training,11.5kW,proposed,4,1,0.8773823976516724,0.006721989717334509,591,58.80965194601798,11.5,76.57655033921979,0.5696951376579571,38.573122738438876,0.2910364656511556,74.5,15.3,1484
4,training,120.0kW,proposed,4,1,0.40421420335769653,0.04300849884748459,591,100.0,120.0,192.45319189733428,1.0,96.72659594866714,0.296843544729793,68.3,15.3,1484
5,training,250.0kW,proposed,4,1,0.9027220606803894,0.006283431313931942,591,100.0,250.0,73.0059179872491,1.0,37.00295899362455,0.2602791506357085,27.1,15.3,1484
0,evaluation,1.9kW,proposed,4,0,0.947422737477232,0.004954638425260782,0,51.81507875870314,1.9,64.68766793660652,0.515073843142587,32.60137088987455,0,76.0,15.3,2068
1,evaluation,2.8kW,proposed,4,0,0.9308221638020413,0.006572321988642216,0,52.58425428169193,2.8,74.25999056357456,0.5213080983724749,37.39064933097352,0,7.8,15.3,2068
2,evaluation,7.7kW,proposed,4,0,0.9477296256040465,0.005068001803010702,0,57.28976015352325,7.7,66.49136621296937,0.5604278793130102,33.52589704614119,0,41.9,15.3,2068
3,evaluation,11.5kW,proposed,4,0,0.9476184203605639,0.005180030595511198,0,60.67201305712909,11.5,67.22224907110567,0.5880965194601798,33.90517279528292,0,89.8,15.3,2068
4,evaluation,120.0kW,proposed,4,0,0.8850977581821823,0.011656064540147781,0,100.0,120.0,100.1899011125504,1.0,50.5949505562752,0,79.4,15.3,2068
5,evaluation,250.0kW,proposed,4,0,0.9415739390372525,0.005570800043642521,0,100.0,250.0,68.7414067343648,1.0,34.8707033671824,0,81.0,15.3,2068
0,training,1.9kW,proposed,5,0,0.0,0.0,0,52.126995425369806,1.9,0.0,0.5181507875870314,0.2590753937935157,0.0,76.0,15.3,2076
