,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,proposed,1,1,0,0,22,50.01161111111111,1.9,0.0,0.5,0.5,0,0,0,30
1,training,2.8kW,proposed,1,1,0,0,2,50.001555555555555,2.8,0.0,0.5,0.5,0,0,0,30
0,evaluation,1.9kW,proposed,1,0,0.9038189392986015,0.018022332340478897,0,50.14408333333333,1.9,123.37325084396211,0.5001161111111111,0.5001161111111111,0,7.8,13.3,280
1,evaluation,2.8kW,proposed,1,0,0.8500074544852204,0.022848818451166153,0,50.196777777777775,2.8,138.46096278143406,0.5000155555555555,0.5000155555555555,0,56.2,13.3,280
2,evaluation,7.7kW,proposed,1,0,0.0,0.0,0,50.49194444444444,7.7,0.0,0.5,0.5,0,0.0,0.0,280
3,evaluation,11.5kW,proposed,1,0,0.0,0.0,0,50.66763888888889,11.5,0.0,0.5,0.5,0,0.0,0.0,280
4,evaluation,120.0kW,proposed,1,0,0.0,0.0,0,56.3,120.0,0.0,0.5,0.5,0,0.0,0.0,280
5,evaluation,250.0kW,proposed,1,0,0.0,0.0,0,61.666666666666664,250.0,0.0,0.5,0.5,0,0.0,0.0,280
0,training,1.9kW,proposed,2,1,0.0011892347829416394,0.06649574637413025,267,50.26423570328494,1.9,236.980408585777,0.5014408333333332,0.5014408333333332,0.27996804559629335,36.5,14.1,296
1,training,2.8kW,proposed,2,1,0.0006522730109281838,0.07639343291521072,267,50.38334217394385,2.8,253.1765554866901,0.5019677777777778,0.5019677777777778,0.2845249955135566,18.2,14.1,296
2,training,7.7kW,proposed,2,1,0.000712371664121747,0.06665390729904175,246,51.00222556922494,7.7,241.1346842653766,0.5049194444444445,0.5049194444444445,0.2324713446756994,1.9,14.2,296
3,training,11.5kW,proposed,2,1,4.040026760776527e-05,0.06821685284376144,225,51.37179519204323,11.5,243.9454465231363,0.5066763888888889,0.5066763888888889,0.23349914953048528,29.0,14.2,296
4,training,120.0kW,proposed,2,0,0.0,0.0,0,63.13333333333333,120.0,0.0,0.563,0.563,0.0,0.0,0.0,296
5,training,250.0kW,proposed,2,0,0.0,0.0,0,74.44444444444444,250.0,0.0,0.6166666666666667,0.6166666666666667,0.0,0.0,0.0,296
0,evaluation,1.9kW,proposed,2,0,0.9279488702948736,0.007141374051570892,0,50.57456903661827,1.9,77.66161220557274,0.5026423570328494,0.5026423570328494,0,80.3,15.0,885
1,evaluation,2.8kW,proposed,2,0,0.9115309950442044,0.00920120906084776,0,50.84067550727718,2.8,87.865406558888,0.5038334217394386,0.5038334217394386,0,91.6,15.0,885
2,evaluation,7.7kW,proposed,2,0,0.9351470037657212,0.0068208808079361916,0,52.259892235891606,7.7,77.13777478050547,0.5100222556922493,0.5100222556922493,0,76.2,15.0,885
3,evaluation,11.5kW,proposed,2,0,0.9349486151524093,0.007292186841368675,0,53.25012852537656,11.5,79.75827821730489,0.5137179519204323,0.5137179519204323,0,63.5,15.0,885
4,evaluation,120.0kW,proposed,2,0,0.853286675269404,0.015601805411279202,0,82.73333333333333,120.0,115.91386971069109,0.6313333333333333,0.6313333333333333,0,9.5,15.1,885
5,evaluation,250.0kW,proposed,2,0,0.9352945652260835,0.007481735665351152,0,100.0,250.0,79.66376178986985,0.7444444444444445,0.7444444444444445,0,52.9,15.1,885
0,training,1.9kW,proposed,3,0,0.0,0.0,0,50.88859681439605,1.9,0.0,0.5057456903661827,0.5057456903661827,0.0,80.3,15.0,892
1,training,2.8kW,proposed,3,0,0.0,0.0,0,51.303453285054964,2.8,0.0,0.5084067550727718,0.5084067550727718,0.0,91.6,15.0,892
2,training,7.7kW,proposed,3,1,0.9064977169036865,0.007900821976363659,595,53.49942959716904,7.7,83.02005454113298,0.522598922358916,0.522598922358916,0.20027815025420131,33.7,15.1,892
3,training,11.5kW,proposed,3,1,0.8457638621330261,0.008064569905400276,595,55.10285776692523,11.5,83.8759556988495,0.5325012852537656,0.5325012852537656,0.2902096309660271,33.6,15.1,892
4,training,120.0kW,proposed,3,1,0.2593848705291748,0.05056139454245567,595,100.0,120.0,208.66879018590717,0.8273333333333334,0.8273333333333334,0.2601875501519948,16.7,15.1,892
5,training,250.0kW,proposed,3,1,0.8659847974777222,0.007734265178442001,595,100.0,250.0,80.99704210171394,1.0,1.0,0.2591314640996309,8.7,15.1,892
0,evaluation,1.9kW,proposed,3,0,0.9387255084447577,0.0056859832257032394,0,51.19681903661827,1.9,69.29761669121928,0.5088859681439605,0.5088859681439605,0,6.3,15.2,1475
1,evaluation,2.8kW,proposed,3,0,0.923171255728588,0.007208410184830427,0,51.757675507277185,2.8,77.77055879986384,0.5130345328505497,0.5130345328505497,0,56.4,15.2,1475
2,evaluation,7.7kW,proposed,3,0,0.9430157385771946,0.0056795598939061165,0,54.74854070828015,7.7,70.38890644702732,0.5349942959716905,0.5349942959716905,0,69.9,15.1,1475
3,evaluation,11.5kW,proposed,3,0,0.9344177272556587,0.006052850279957056,0,56.968413322480785,11.5,72.66526170614276,0.5510285776692523,0.5510285776692523,0,71.5,15.1,1475
4,evaluation,120.0kW,proposed,3,0,0.8764224059570062,0.012526731938123703,0,100.0,120.0,103.86443624937807,1.0,1.0,0,87.4,15.1,1475
5,evaluation,250.0kW,proposed,3,0,0.9410619629834115,0.00629938580095768,0,100.0,250.0,73.09854520570258,1.0,1.0,0,78.5,15.1,1475
0,training,1.9kW,proposed,4,0,0.0,0.0,0,51.50873570328494,1.9,0.0,0.5119681903661827,0.5119681903661827,0.0,6.3,15.2,1483
1,training,2.8kW,proposed,4,0,0.0,0.0,0,52.21734217394385,2.8,0.0,0.5175767550727719,0.5175767550727719,0.0,56.4,15.2,1483
2,training,7.7kW,proposed,4,1,0.9278234839439392,0.005567281506955624,591,55.97460759616514,7.7,69.68967948184135,0.5474854070828016,0.5474854070828016,0.23157225653813915,29.3,15.2,1483
3,training,11.5kW,proposed,4,1,0.8747142553329468,0.006525883451104164,591,58.816727743805096,11.5,75.45126628408184,0.5696841332248078,0.5696841332248078,0.24123195132400002,30.7,15.2,1483
4,training,120.0kW,proposed,4,1,0.37164050340652466,0.04285077378153801,591,100.0,120.0,192.09997597157587,1.0,1.0,0.23428803636074882,45.1,15.2,1483
5,training,250.0kW,proposed,4,1,0.8946568369865417,0.0060195112600922585,591,100.0,250.0,71.45625410537497,1.0,1.0,0.2809560944495939,6.4,15.2,1483
0,evaluation,1.9kW,proposed,4,0,0.949195501188102,0.004857529886066914,0,51.816430147729385,1.9,64.0506073203569,0.5150873570328494,0.5150873570328494,0,7.5,15.2,2065
1,evaluation,2.8kW,proposed,4,0,0.9317996988844236,0.00654161162674427,0,52.67078661838829,2.8,74.08629080396413,0.5221734217394385,0.5221734217394385,0,34.2,15.2,2065
2,evaluation,7.7kW,proposed,4,0,0.951515760110635,0.005088220350444317,0,57.22157981838737,7.7,66.6238662344974,0.5597460759616514,0.5597460759616514,0,44.6,15.2,2065
3,evaluation,11.5kW,proposed,4,0,0.9363948368631537,0.005369858350604773,0,60.67908885491621,11.5,68.44288240058404,0.588167277438051,0.588167277438051,0,87.9,15.2,2065
4,evaluation,120.0kW,proposed,4,0,0.882523777033568,0.011415746062994003,0,100.0,120.0,99.15169114802545,1.0,1.0,0,77.2,15.2,2065
5,evaluation,250.0kW,proposed,4,0,0.9437709131407935,0.00554537121206522,0,100.0,250.0,68.58433656669294,1.0,1.0,0,84.6,15.2,2065
0,training,1.9kW,proposed,5,0,0.0,0.0,0,52.12834681439605,1.9,0.0,0.5181643014772939,0.5181643014772939,0.0,7.5,15.2,2073
1,training,2.8kW,proposed,5,0,0.0,0.0,0,53.130453285054955,2.8,0.0,0.5267078661838829,0.5267078661838829,0.0,34.2,15.2,2073
2,training,7.7kW,proposed,5,1,0.9392367601394653,0.0049486542120575905,591,58.44985005941583,7.7,65.7037913199361,0.5722157981838737,0.5722157981838737,0.21815081607026024,52.8,15.2,2073
3,training,11.5kW,proposed,5,1,0.8910605311393738,0.005958832800388336,591,62.52996645991482,11.5,72.09870696770898,0.6067908885491621,0.6067908885491621,0.22561864975468354,52.8,15.2,2073
4,training,120.0kW,proposed,5,1,0.4639221131801605,0.03652914613485336,591,100.0,120.0,177.3649237729872,1.0,1.0,0.27709962220901574,34.6,15.2,2073
5,training,250.0kW,proposed,5,1,0.9086400866508484,0.005452284589409828,591,100.0,250.0,68.00625950900096,1.0,1.0,0.2031486262268239,6.3,15.2,2073
0,evaluation,1.9kW,proposed,5,0,0.9522304156821185,0.004646787885576487,0,52.4360412588405,1.9,62.64579653440734,0.5212834681439605,0.5212834681439605,0,7.9,15.2,2656
1,evaluation,2.8kW,proposed,5,0,0.933898938056403,0.006009299773722887,0,53.5838977294994,2.8,71.00802089159247,0.5313045328505496,0.5313045328505496,0,62.0,15.2,2656
2,evaluation,7.7kW,proposed,5,0,0.9521332284819418,0.0044410694390535355,0,59.69682228163805,7.7,62.24302026392185,0.5844985005941583,0.5844985005941583,0,50.5,15.2,2656
3,evaluation,11.5kW,proposed,5,0,0.9498866887318019,0.004931807052344084,0,64.39232757102593,11.5,65.59185523336473,0.6252996645991482,0.6252996645991482,0,52.8,15.2,2656
4,evaluation,120.0kW,proposed,5,0,0.8932452221385062,0.010631667450070381,0,100.0,120.0,95.68605907508895,1.0,1.0,0,84.4,15.2,2656
5,evaluation,250.0kW,proposed,5,0,0.9493420463037016,0.004835936706513166,0,100.0,250.0,64.0471684609822,1.0,1.0,0,85.0,15.2,2656
0,training,1.9kW,proposed,6,0,0.0,0.0,0,52.747957925507166,1.9,0.0,0.5243604125884049,0.5243604125884049,0.0,7.9,15.2,2664
1,training,2.8kW,proposed,6,0,0.0,0.0,0,54.04356439616606,2.8,0.0,0.535838977294994,0.535838977294994,0.0,62.0,15.2,2664
2,training,7.7kW,proposed,6,1,0.9411309361457825,0.0045036920346319675,591,60.92206919763411,7.7,62.68032202025932,0.5969682228163805,0.5969682228163805,0.236567009161067,41.5,15.2,2664
3,training,11.5kW,proposed,6,1,0.9015426635742188,0.005544679705053568,591,66.23971867960614,11.5,69.54807408391486,0.6439232757102593,0.6439232757102593,0.24685619138958767,55.6,15.2,2664
4,training,120.0kW,proposed,6,1,0.5120115280151367,0.035024065524339676,591,100.0,120.0,173.67257942609405,1.0,1.0,0.2832398981649312,33.3,15.2,2664
