,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,random,1,1,0,0,23,50.01213888888889,1.9,0.0,25.339285714285715,12.669642857142858,0,0,0,30
1,training,2.8kW,random,1,1,0,0,3,50.00233333333333,2.8,0.0,25.5,12.75,0,0,0,30
0,evaluation,1.9kW,random,1,0,0.8852566015288232,0.023611508309841156,0,50.141444444444446,1.9,141.21387704353901,25.009869444444444,83.11187324399172,0,50.1,13.4,275
1,evaluation,2.8kW,random,1,0,0.857373439789923,0.026061223819851875,0,50.19288888888889,2.8,147.87435955360766,25.006766666666667,86.44056311013716,0,7.0,13.4,275
2,evaluation,7.7kW,random,1,0,0.0,0.0,0,50.47911111111111,7.7,0.0,25.0154,12.5077,0,0.0,0.0,275
3,evaluation,11.5kW,random,1,0,0.0,0.0,0,50.648472222222225,11.5,0.0,25.023,12.5115,0,0.0,0.0,275
4,evaluation,120.0kW,random,1,0,0.0,0.0,0,56.13333333333333,120.0,0.0,25.24,12.62,0,0.0,0.0,275
5,evaluation,250.0kW,random,1,0,0.0,0.0,0,61.31944444444444,250.0,0.0,25.5,12.75,0,0.0,0.0,275
0,training,1.9kW,random,2,1,0.00034877777216024697,0.12533238530158997,260,50.259433547800434,1.9,325.3472677965747,25.07452222222222,175.21089500939848,0.2663047227632459,19.8,14.2,290
1,training,2.8kW,random,2,1,0.008403263054788113,0.1680973619222641,260,50.37416593317045,2.8,375.557053062577,25.102044444444445,200.32954875351072,0.29001015610143166,13.2,14.2,290
2,training,7.7kW,random,2,0,0.0,0.0,0,50.99030555555555,7.7,0.0,25.254955555555554,12.627477777777777,0.0,0.0,0.0,290
3,training,11.5kW,random,2,1,0.0,0.12509265542030334,218,51.32744241688385,11.5,330.3412304146035,25.347236111111112,177.8442332628573,0.28764816155116035,50.2,14.3,290
4,training,120.0kW,random,2,0,0.0,0.0,0,62.766666666666666,120.0,0.0,28.306666666666665,14.153333333333332,0.0,0.0,0.0,290
5,training,250.0kW,random,2,1,0.0,0.12941722571849823,178,73.66913110161826,250.0,331.32611874207055,31.15972222222222,181.2429204821464,0.23105637176545565,5.9,14.3,290
0,evaluation,1.9kW,random,2,0,0.930306538543208,0.007619463372975588,0,50.567655770022654,1.9,80.21908504678693,25.133516773900215,52.67630091034357,0,74.1,15.1,874
1,evaluation,2.8kW,random,2,0,0.9144951878143387,0.00888417661190033,0,50.82838815539267,2.8,86.33841376394776,25.192682966585227,55.76554836526649,0,82.2,15.1,874
2,evaluation,7.7kW,random,2,0,0.93376337107233,0.007218304555863142,0,52.23941666666666,7.7,79.35320591592092,25.510552777777775,52.43187934684935,0,6.4,15.2,874
3,evaluation,11.5kW,random,2,0,0.92359186205755,0.007444065995514393,0,53.1929979724394,11.5,80.58458683633584,25.686721208441924,53.135654022388884,0,76.5,15.2,874
4,evaluation,120.0kW,random,2,0,0.836505734040429,0.01612025871872902,0,82.23333333333333,120.0,117.82405902204326,31.62333333333333,74.7236961776883,0,56.6,15.2,874
5,evaluation,250.0kW,random,2,0,0.9286054086231674,0.007883894257247448,0,100.0,250.0,81.7767836776541,37.33456555080913,59.55567461423161,0,74.5,15.1,874
0,training,1.9kW,random,3,1,0.8803166747093201,0.011480105109512806,592,50.837917048647284,1.9,98.46648694553515,25.287627885011325,61.87705741527324,0.25651925160699024,6.1,15.2,882
1,training,2.8kW,random,3,0,0.0,0.0,0,51.288832599837114,2.8,0.0,25.419794077696338,12.709897038848169,0.0,82.2,15.1,882
2,training,7.7kW,random,3,1,0.9172915816307068,0.011288909241557121,592,53.458111174565076,7.7,99.23682638178128,26.13510833333333,62.68596735755731,0.28901988440157195,78.3,15.2,882
3,training,11.5kW,random,3,0,0.0,0.0,0,55.08410908355051,11.5,0.0,26.6194989862197,13.30974949310985,0.0,76.5,15.2,882
4,training,120.0kW,random,3,1,0.27085888385772705,0.056059230118989944,592,100.0,120.0,219.72098677821432,41.35666666666667,130.5388267224405,0.2627743435503931,49.3,15.2,882
5,training,250.0kW,random,3,1,0.8854776620864868,0.011439168825745583,592,100.0,250.0,98.50468011175539,50.5,74.5023400558777,0.2240792480869002,14.1,15.2,882
0,evaluation,1.9kW,random,3,0,0.9368864609641937,0.005778562743216753,0,51.143500381980616,1.9,69.85949276207124,25.42275852432364,47.64112564319744,0,74.4,15.2,1461
1,evaluation,2.8kW,random,3,0,0.9145367523679706,0.00767708383500576,0,51.73916593317045,2.8,80.25897616008189,25.65001629991856,52.954496230000224,0,55.3,15.2,1461
2,evaluation,7.7kW,random,3,0,0.9420990437811727,0.005897866562008858,0,54.69652784123174,7.7,71.72892918877152,26.744455587282538,49.23669238802702,0,5.1,15.2,1461
3,evaluation,11.5kW,random,3,0,0.9308057592788016,0.006298983469605446,0,56.933692416883844,11.5,74.12797058878064,27.565054541775254,50.84651256527795,0,57.4,15.2,1461
4,evaluation,120.0kW,random,3,0,0.8763775947475473,0.012669100426137447,0,100.0,120.0,104.45298742201084,50.24,77.34649371100542,0,82.1,15.2,1461
5,evaluation,250.0kW,random,3,0,0.9404397043874285,0.006541134789586067,0,100.0,250.0,74.48797698322379,50.5,62.493988491611894,0,74.0,15.2,1461
0,training,1.9kW,random,4,1,0.9079961180686951,0.006429976783692837,587,51.410465651950865,1.9,73.69197800583457,25.575550190990306,49.63376409841244,0.26273428979065044,10.8,15.3,1469
1,training,2.8kW,random,4,1,0.7228543758392334,0.020289679989218712,587,52.15645710427867,2.8,130.47673253509186,25.875182966585225,78.17595775083853,0.24080372063099578,14.7,15.3,1469
2,training,7.7kW,random,4,1,0.9326494932174683,0.0058060297742486,587,55.914971031309925,7.7,71.16828584239198,27.36366392061587,49.26597488150392,0.22743529083225666,82.9,15.3,1469
3,training,11.5kW,random,4,1,0.8909740447998047,0.0063413470052182674,587,58.774211162481926,11.5,74.37682507397172,28.48984620844192,51.43333564120682,0.2123211513575876,81.8,15.3,1469
4,training,120.0kW,random,4,0,0.0,0.0,0,100.0,120.0,0.0,50.24,25.12,0.0,82.1,15.2,1469
5,training,250.0kW,random,4,0,0.0,0.0,0,100.0,250.0,0.0,50.5,25.25,0.0,74.0,15.2,1469
0,evaluation,1.9kW,random,4,0,0.9497353141746561,0.004962610546499491,0,51.716048985284196,1.9,64.73968895323917,25.70903282597543,45.2243608896073,0,65.8,16.0,2048
1,evaluation,2.8kW,random,4,0,0.9323271351130828,0.006403148639947176,0,52.606790437612005,2.8,73.29802374716196,26.083828552139337,49.69092614965065,0,61.9,16.0,2048
2,evaluation,7.7kW,random,4,0,0.9510272237185872,0.00496338028460741,0,57.15338769797659,7.7,65.80147849067664,27.972885515654962,46.887182003165805,0,8.8,16.0,2048
3,evaluation,11.5kW,random,4,0,0.9502246778582615,0.005277108401060104,0,60.62379449581526,11.5,67.84922384460405,29.410105581240963,48.629664712922505,0,25.7,16.0,2048
4,evaluation,120.0kW,random,4,0,0.8904506287184298,0.010807372629642487,0,100.0,120.0,96.4735009766207,50.24,73.35675048831035,0,81.3,16.0,2048
5,evaluation,250.0kW,random,4,0,0.9426493992218853,0.005549437366425991,0,100.0,250.0,68.60947675893287,50.5,59.554738379466436,0,97.3,16.0,2048
0,training,1.9kW,random,5,0,0.0,0.0,0,52.02638231861753,1.9,0.0,25.861824492642096,12.930912246321048,0.0,65.8,16.0,2057
1,training,2.8kW,random,5,1,0.7536587715148926,0.01632399670779705,588,53.02041822568827,2.8,117.0331037854562,26.308995218806004,71.6710495021311,0.26758497096166367,9.7,15.9,2057
2,training,7.7kW,random,5,1,0.9415407180786133,0.005001419223845005,588,58.370810289377275,7.7,66.05314578758936,28.592093848988295,47.32261981828883,0.24639229754682956,65.6,15.9,2057
3,training,11.5kW,random,5,0,0.0,0.0,0,62.50212782914859,11.5,0.0,30.33489724790763,15.167448623953815,0.0,25.7,16.0,2057
4,training,120.0kW,random,5,1,0.410953551530838,0.03871738910675049,588,100.0,120.0,182.60009863225108,50.24,116.42004931612554,0.22771627913424283,51.1,15.9,2057
5,training,250.0kW,random,5,1,0.90953129529953,0.005601138807833195,588,100.0,250.0,68.92833657861792,50.5,59.71416828930896,0.22273324106276537,20.2,15.9,2057
0,evaluation,1.9kW,random,5,0,0.950630147502899,0.004930444993078709,0,52.33143787417308,1.9,64.52954016417246,26.016991159308763,45.27326566174061,0,36.9,15.9,2635
1,evaluation,2.8kW,random,5,0,0.937244686076252,0.005874212831258774,0,53.46997378124382,2.8,70.20536675600137,26.515809112844135,48.36058793442275,0,7.6,15.9,2635
2,evaluation,7.7kW,random,5,0,0.9543367040935711,0.004421568941324949,0,59.607088067155054,7.7,62.106217042889256,29.200805144688637,45.65351109378895,0,75.5,15.9,2635
3,evaluation,11.5kW,random,5,0,0.9543033366181971,0.004882777109742165,0,64.34851671803747,11.5,65.264997574092,31.274063914574295,48.26953074433315,0,65.6,15.9,2635
4,evaluation,120.0kW,random,5,0,0.898477456952488,0.010441835038363934,0,100.0,120.0,94.82795613994011,50.24,72.53397806997006,0,23.1,15.9,2635
5,evaluation,250.0kW,random,5,0,0.9450341708454428,0.004987125284969807,0,100.0,250.0,65.04063452064466,50.5,57.77031726032233,0,94.1,15.9,2635
0,training,1.9kW,random,6,0,0.0,0.0,0,52.64071565195086,1.9,0.0,26.16951893708654,13.08475946854327,0.0,36.9,15.9,2643
1,training,2.8kW,random,6,1,0.7699780464172363,0.014541474170982838,586,53.89206137009569,2.8,110.45864000614971,26.740586890621913,68.59961344838581,0.20697044391342773,7.4,15.9,2643
