,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,random,1,1,0,0,23,50.01213888888889,1.9,0.0,0.6785714285714286,0.3392857142857143,0,0,0,30
1,training,2.8kW,random,1,1,0,0,3,50.00233333333333,2.8,0.0,1.0,0.5,0,0,0,30
0,evaluation,1.9kW,random,1,0,0.8921959664033333,0.019272124394774437,0,50.14355555555556,1.9,127.57932689497578,0.0076,63.79346344748789,0,7.3,14.3,279
1,evaluation,2.8kW,random,1,0,0.8556454144650211,0.022371867671608925,0,50.196,2.8,137.00821070676565,0.011199999999999998,68.50970535338283,0,56.8,14.3,279
2,evaluation,7.7kW,random,1,0,0.0,0.0,0,50.48766666666667,7.7,0.0,0.0308,0.0154,0,0.0,0.0,279
3,evaluation,11.5kW,random,1,0,0.0,0.0,0,50.66125,11.5,0.0,0.046,0.023,0,0.0,0.0,279
4,evaluation,120.0kW,random,1,0,0.0,0.0,0,56.266666666666666,120.0,0.0,0.48,0.24,0,0.0,0.0,279
5,evaluation,250.0kW,random,1,0,0.0,0.0,0,61.666666666666664,250.0,0.0,1.0,0.5,0,0.0,0.0,279
0,training,1.9kW,random,2,0,0.0,0.0,0,50.283944444444444,1.9,0.0,0.0076,0.0038,0.0,7.3,14.3,296
1,training,2.8kW,random,2,1,0.25391724705696106,0.08275704085826874,266,50.38523832524673,2.8,263.51051530133583,0.011199999999999998,131.7608576506679,0.23887980869083217,15.6,15.3,296
2,training,7.7kW,random,2,1,0.25674813985824585,0.089703768491745,245,50.99274769047983,7.7,279.7384862087888,0.0308,139.8846431043944,0.27840128274537185,0.3,15.5,296
3,training,11.5kW,random,2,1,0.08163610100746155,0.0815737321972847,224,51.358668141213734,11.5,266.7608193207812,0.046,133.4034096603906,0.2914941590649846,60.1,15.5,296
4,training,120.0kW,random,2,1,0.00020997961109969765,0.08508242666721344,205,63.084416044007085,120.0,270.6873187406044,0.48,135.5836593703022,0.27366947109506456,2.7,15.5,296
5,training,250.0kW,random,2,0,0.0,0.0,0,74.51388888888889,250.0,0.0,1.0,0.5,0.0,0.0,0.0,296
0,evaluation,1.9kW,random,2,0,0.9133916746234005,0.007516443729400635,0,50.594277777777776,1.9,79.67493478219062,0.0076,39.84126739109531,0,88.5,16.0,884
1,evaluation,2.8kW,random,2,0,0.9103562517487197,0.009373816661536694,0,50.84257165858006,2.8,88.6857210195775,0.011199999999999998,44.34846050978875,0,89.6,16.0,884
2,evaluation,7.7kW,random,2,0,0.9301962852006164,0.006975117605179548,0,52.2504143571465,7.7,78.00503633473937,0.0308,39.017918167369686,0,55.6,16.0,884
