,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,random,1,1,0,0,23,50.01213888888889,1.9,0.0,25.339285714285715,25.339285714285715,0,0,0,30
1,training,2.8kW,random,1,1,0,0,3,50.00233333333333,2.8,0.0,25.5,25.5,0,0,0,30
0,evaluation,1.9kW,random,1,0,0.8916800684158942,0.018621880561113358,0,50.14197222222222,1.9,125.40858849606138,25.009869444444444,25.009869444444444,0,54.3,13.2,276
1,evaluation,2.8kW,random,1,0,0.8572975136058671,0.02190268412232399,0,50.193666666666665,2.8,135.5639278308971,25.006766666666667,25.006766666666667,0,7.9,13.2,276
2,evaluation,7.7kW,random,1,0,0.0,0.0,0,50.47911111111111,7.7,0.0,25.0154,25.0154,0,0.0,0.0,276
3,evaluation,11.5kW,random,1,0,0.0,0.0,0,50.65486111111111,11.5,0.0,25.023,25.023,0,0.0,0.0,276
4,evaluation,120.0kW,random,1,0,0.0,0.0,0,56.13333333333333,120.0,0.0,25.24,25.24,0,0.0,0.0,276
5,evaluation,250.0kW,random,1,0,0.0,0.0,0,61.388888888888886,250.0,0.0,25.5,25.5,0,0.0,0.0,276
0,training,1.9kW,random,2,0,0.0,0.0,0,50.28183333333333,1.9,0.0,25.07478611111111,25.07478611111111,0.0,54.3,13.2,294
1,training,2.8kW,random,2,1,0.0,0.06462834030389786,265,50.38439323762057,2.8,232.8664782703327,25.102433333333334,25.102433333333334,0.20899752666399085,16.1,14.3,294
2,training,7.7kW,random,2,0,0.0,0.0,0,50.99886111111111,7.7,0.0,25.254955555555554,25.254955555555554,0.0,0.0,0.0,294
3,training,11.5kW,random,2,1,0.0,0.07466509193181992,224,51.35364586493866,11.5,255.21469577058977,25.350430555555555,25.350430555555555,0.2695307420571335,31.4,14.4,294
4,training,120.0kW,random,2,1,0.0,0.08282213658094406,203,62.886724648370354,120.0,267.06759232322395,28.306666666666665,28.306666666666665,0.2354249550084525,0.4,14.4,294
5,training,250.0kW,random,2,1,0.0,0.07363816350698471,183,74.08510711253348,250.0,249.92580789371917,31.194444444444443,31.194444444444443,0.23833002666376948,21.0,14.4,294
0,evaluation,1.9kW,random,2,0,0.9287610058116261,0.0074044279754161835,0,50.593222222222224,1.9,79.07901804742815,25.144716666666664,25.144716666666664,0,94.4,14.9,885
1,evaluation,2.8kW,random,2,0,0.9068352518624995,0.0091096181422472,0,50.84328212650946,2.8,87.42699674563553,25.197796618810287,25.197796618810287,0,85.6,14.9,885
2,evaluation,7.7kW,random,2,0,0.9299461730501433,0.007059951312839985,0,52.26080555555556,7.7,78.4779643432718,25.514830555555555,25.514830555555555,0,6.4,14.9,885
3,evaluation,11.5kW,random,2,0,0.9301288514771815,0.007764155976474285,0,53.238368087160886,11.5,82.29889459168453,25.69982293246933,25.69982293246933,0,50.3,14.9,885
4,evaluation,120.0kW,random,2,0,0.8416328413557878,0.015663394704461098,0,82.55339131503702,120.0,116.14243369745023,31.683362324185175,31.683362324185175,0,50.6,14.9,885
5,evaluation,250.0kW,random,2,0,0.9370598077957565,0.007452830672264099,0,100.0,250.0,79.50972608600769,37.54255355626674,37.54255355626674,0,71.1,14.9,885
0,training,1.9kW,random,3,1,0.8405282497406006,0.010042484849691391,598,50.862282701174294,1.9,92.09501097855525,25.30041111111111,25.30041111111111,0.280237919352057,15.8,15.0,893
1,training,2.8kW,random,3,1,0.6685750484466553,0.0231630839407444,598,51.2662351461816,2.8,139.4099155691059,25.42724106325473,25.42724106325473,0.25379453040184624,8.6,15.0,893
2,training,7.7kW,random,3,1,0.8909175992012024,0.008984495885670185,598,53.50357733710126,7.7,88.53066639780647,26.145802777777778,26.145802777777778,0.2184307465476038,63.4,15.0,893
3,training,11.5kW,random,3,1,0.8402135372161865,0.010679668746888638,598,55.10266481966133,11.5,96.52187891540854,26.642184043580443,26.642184043580443,0.27680896822477535,65.3,15.0,893
4,training,120.0kW,random,3,0,0.0,0.0,0,100.0,120.0,0.0,41.51669565751851,41.51669565751851,0.0,50.6,14.9,893
5,training,250.0kW,random,3,0,0.0,0.0,0,100.0,250.0,0.0,50.5,50.5,0.0,71.1,14.9,893
0,evaluation,1.9kW,random,3,0,0.9400606182295731,0.005849593318998814,0,51.1710327011743,1.9,70.28754073864697,25.434941350587145,25.434941350587145,0,62.4,15.0,1477
1,evaluation,2.8kW,random,3,0,0.913157229019236,0.007654497865587473,0,51.7212351461816,2.8,80.14082830310879,25.6387175730908,25.6387175730908,0,7.7,15.0,1477
2,evaluation,7.7kW,random,3,0,0.94514452713213,0.005553564056754112,0,54.75482733710126,7.7,69.6037709200715,26.76718866855063,26.76718866855063,0,82.6,15.0,1477
3,evaluation,11.5kW,random,3,0,0.9415616322513304,0.0062315091490745544,0,56.97141481966133,11.5,73.72987450993038,27.574332409830664,27.574332409830664,0,53.6,15.0,1477
4,evaluation,120.0kW,random,3,0,0.8734830361070998,0.012630481272935867,0,100.0,120.0,104.29366416303534,50.24,50.24,0,75.4,15.0,1477
5,evaluation,250.0kW,random,3,0,0.9448046954982482,0.006301794666796923,0,100.0,250.0,73.11252019974752,50.5,50.5,0,95.3,15.0,1477
0,training,1.9kW,random,4,1,0.8927786946296692,0.006444016471505165,593,51.445033953793484,1.9,73.77238640027089,25.589316350587147,25.589316350587147,0.23658598747204584,17.5,15.0,1485
1,training,2.8kW,random,4,1,0.7380114793777466,0.01602284610271454,593,52.13600825657767,2.8,115.94854531023341,25.8662175730908,25.8662175730908,0.2819844900070314,7.7,15.0,1485
2,training,7.7kW,random,4,1,0.9250293374061584,0.005546071566641331,593,55.98483008870883,7.7,69.55680274127732,27.39281366855063,27.39281366855063,0.23286693796413604,46.9,15.0,1485
3,training,11.5kW,random,4,0,0.0,0.0,0,58.86572037521688,11.5,0.0,28.508707409830663,28.508707409830663,0.0,53.6,15.0,1485
4,training,120.0kW,random,4,0,0.0,0.0,0,100.0,120.0,0.0,50.24,50.24,0.0,75.4,15.0,1485
5,training,250.0kW,random,4,1,0.9042383432388306,0.005971028469502926,593,100.0,250.0,71.16790821711449,50.5,50.5,0.20486171567750933,23.7,15.0,1485
0,evaluation,1.9kW,random,4,0,0.9465503151490101,0.005080177914351225,0,51.75378395379349,1.9,65.50206210129865,25.72631697689674,25.72631697689674,0,55.3,15.0,2071
1,evaluation,2.8kW,random,4,0,0.9285214795718705,0.006490308791399002,0,52.591008256577666,2.8,73.79520670935261,26.073604128288835,26.073604128288835,0,7.5,15.0,2071
2,evaluation,7.7kW,random,4,0,0.9496736923104246,0.005041702650487423,0,57.23608008870883,7.7,66.31862149780109,28.007815044354416,28.007815044354416,0,71.2,15.0,2071
3,evaluation,11.5kW,random,4,0,0.9457076643142369,0.00553680956363678,0,60.73447037521688,11.5,69.49869814389278,29.45586018760844,29.45586018760844,0,65.6,15.0,2071
4,evaluation,120.0kW,random,4,0,0.881799130951633,0.011903930455446243,0,100.0,120.0,101.24956516125398,50.24,50.24,0,77.3,15.0,2071
5,evaluation,250.0kW,random,4,0,0.9421951848757854,0.005449545569717884,0,100.0,250.0,67.98917548847807,50.5,50.5,0,88.1,15.0,2071
0,training,1.9kW,random,5,1,0.912200927734375,0.00558198569342494,593,52.03050616187726,1.9,68.66095993521108,25.880691976896742,25.880691976896742,0.22006753945766103,10.1,15.0,2079
1,training,2.8kW,random,5,0,0.0,0.0,0,53.052230478799885,2.8,0.0,26.301104128288834,26.301104128288834,0.0,7.5,15.0,2079
2,training,7.7kW,random,5,1,0.9343644380569458,0.0050353058613836765,593,58.46846395154584,7.7,66.27653642137025,28.633440044354415,28.633440044354415,0.21841162527279614,57.8,15.0,2079
3,training,11.5kW,random,5,1,0.9021201729774475,0.006186805199831724,593,62.59066186133199,11.5,73.46493474375652,30.39023518760844,30.39023518760844,0.2313838954225971,74.8,15.0,2079
4,training,120.0kW,random,5,0,0.0,0.0,0,100.0,120.0,0.0,50.24,50.24,0.0,77.3,15.0,2079
5,training,250.0kW,random,5,1,0.9204243421554565,0.0052750566974282265,593,100.0,250.0,66.89184829322042,50.5,50.5,0.2937403203825114,7.5,15.0,2079
0,evaluation,1.9kW,random,5,0,0.9434445328833644,0.004832171835005283,0,52.33872838409948,1.9,63.883204969255395,26.01905308093863,26.01905308093863,0,83.9,15.0,2663
1,evaluation,2.8kW,random,5,0,0.9333900203405663,0.005998693872243166,0,53.506452701022106,2.8,70.94533166931325,26.531715239399944,26.531715239399944,0,8.2,15.0,2663
2,evaluation,7.7kW,random,5,0,0.954469326859147,0.004347024951130152,0,59.717575062656955,7.7,61.58046198485437,29.24963197577292,29.24963197577292,0,83.9,15.0,2663
3,evaluation,11.5kW,random,5,0,0.954930334351216,0.005132240243256092,0,64.45621741688754,11.5,66.91143825719121,31.318330930665994,31.318330930665994,0,40.8,15.0,2663
4,evaluation,120.0kW,random,5,0,0.8963975434360522,0.010650107637047768,0,100.0,120.0,95.76900487790058,50.24,50.24,0,64.6,15.0,2663
5,evaluation,250.0kW,random,5,0,0.9506669702593409,0.00508085684850812,0,100.0,250.0,65.64899918532937,50.5,50.5,0,84.0,15.0,2663
0,training,1.9kW,random,6,1,0.9205637574195862,0.005329738836735487,592,52.61184511977677,1.9,67.09165046182841,26.17316419204974,26.17316419204974,0.23915498574622826,18.5,15.0,2671
1,training,2.8kW,random,6,1,0.7939050793647766,0.012623593211174011,592,53.92333943364827,2.8,102.91696471133814,26.758826350511054,26.758826350511054,0.2648779772732841,8.1,15.0,2671
