,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,random,1,1,0,0,23,50.01213888888889,1.9,0.0,0.6785714285714286,0.6785714285714286,0,0,0,30
1,training,2.8kW,random,1,1,0,0,3,50.00233333333333,2.8,0.0,1.0,1.0,0,0,0,30
0,evaluation,1.9kW,random,1,0,0.8937670544785711,0.01905088871717453,0,50.14302777777778,1.9,126.84493535756813,0.0076,0.0076,0,43.6,13.9,278
1,evaluation,2.8kW,random,1,0,0.8457898014205855,0.02271834760904312,0,50.19522222222222,2.8,138.06507839223244,0.011199999999999998,0.011199999999999998,0,7.2,13.9,278
2,evaluation,7.7kW,random,1,0,0.0,0.0,0,50.485527777777776,7.7,0.0,0.0308,0.0308,0,0.0,0.0,278
3,evaluation,11.5kW,random,1,0,0.0,0.0,0,50.66125,11.5,0.0,0.046,0.046,0,0.0,0.0,278
4,evaluation,120.0kW,random,1,0,0.0,0.0,0,56.2,120.0,0.0,0.48,0.48,0,0.0,0.0,278
5,evaluation,250.0kW,random,1,0,0.0,0.0,0,61.59722222222222,250.0,0.0,1.0,1.0,0,0.0,0.0,278
0,training,1.9kW,random,2,1,0.0003466185589786619,0.08017532527446747,265,50.26529715683111,1.9,260.2171264331568,0.0076,0.0076,0.238982020407581,13.6,14.8,295
1,training,2.8kW,random,2,0,0.0,0.0,0,50.40133333333333,2.8,0.0,0.011199999999999998,0.011199999999999998,0.0,7.2,13.9,295
2,training,7.7kW,random,2,0,0.0,0.0,0,51.007416666666664,7.7,0.0,0.0308,0.0308,0.0,0.0,0.0,295
3,training,11.5kW,random,2,1,0.0,0.08583427965641022,224,51.36417578762557,11.5,273.6385368765653,0.046,0.046,0.2029784131604581,51.1,15.1,295
4,training,120.0kW,random,2,1,0.0,0.09216809272766113,203,62.950528706026766,120.0,281.73336111930035,0.48,0.48,0.2861904349932966,40.8,15.1,295
5,training,250.0kW,random,2,1,0.0,0.0843687579035759,184,74.36267684716518,250.0,267.5164286037161,1.0,1.0,0.2411051641594043,6.0,15.1,295
0,evaluation,1.9kW,random,2,0,0.9262467585595249,0.0073198419995605946,0,50.57615826794222,1.9,78.6260330869547,0.0076,0.0076,0,89.3,15.6,884
1,evaluation,2.8kW,random,2,0,0.8995849565630186,0.009294341318309307,0,50.85944444444444,2.8,88.30896245101815,0.011199999999999998,0.011199999999999998,0,92.0,15.6,884
2,evaluation,7.7kW,random,2,0,0.9351444738953122,0.0067432355135679245,0,52.26722222222222,7.7,76.69747036033236,0.0308,0.0308,0,6.4,15.7,884
3,evaluation,11.5kW,random,2,0,0.92290703588978,0.007702951319515705,0,53.245703565403346,11.5,81.97387267469703,0.046,0.046,0,45.9,15.6,884
4,evaluation,120.0kW,random,2,0,0.8332569739093895,0.015583719126880169,0,82.5838620393601,120.0,115.84666405453017,0.48,0.48,0,59.7,15.6,884
5,evaluation,250.0kW,random,2,0,0.9335084348755539,0.007804160472005606,0,100.0,250.0,81.36220795267609,1.0,1.0,0,81.0,15.6,884
0,training,1.9kW,random,3,1,0.8389431834220886,0.009241359308362007,597,50.84625794194977,1.9,88.34529788749101,0.0076,0.0076,0.27125824719061226,19.9,15.7,892
1,training,2.8kW,random,3,1,0.6604825854301453,0.02290160581469536,597,51.282063229759686,2.8,138.6208128978294,0.011199999999999998,0.011199999999999998,0.2515450131744248,6.7,15.7,892
2,training,7.7kW,random,3,1,0.8826850652694702,0.008144001476466656,597,53.49490126570596,7.7,84.2880095387508,0.0308,0.0308,0.2969102905503165,82.8,15.7,892
3,training,11.5kW,random,3,0,0.0,0.0,0,55.15278689873668,11.5,0.0,0.046,0.046,0.0,45.9,15.6,892
4,training,120.0kW,random,3,1,0.2864169776439667,0.05115796625614166,597,100.0,120.0,209.89621724159085,0.48,0.48,0.24499772306531903,64.7,15.7,892
5,training,250.0kW,random,3,0,0.0,0.0,0,100.0,250.0,0.0,1.0,1.0,0.0,81.0,15.6,892
0,evaluation,1.9kW,random,3,0,0.9384151162356674,0.005828917026519775,0,51.152896830838664,1.9,70.1632096816741,0.0076,0.0076,0,11.4,15.7,1473
1,evaluation,2.8kW,random,3,0,0.9213682569026513,0.007641815114766359,0,51.733952118648574,2.8,80.07440803986879,0.011199999999999998,0.011199999999999998,0,94.6,15.7,1473
2,evaluation,7.7kW,random,3,0,0.938194757216294,0.005464944057166576,0,54.73759571015041,7.7,69.04619278377054,0.0308,0.0308,0,78.2,15.7,1473
3,evaluation,11.5kW,random,3,0,0.9260698808208884,0.006187025923281908,0,57.0087591209589,11.5,73.466245217314,0.046,0.046,0,81.5,15.7,1473
4,evaluation,120.0kW,random,3,0,0.8696719644254526,0.01311927568167448,0,100.0,120.0,106.29256939526466,0.48,0.48,0,15.6,15.7,1473
5,evaluation,250.0kW,random,3,0,0.9437775632713583,0.006036233622580767,0,100.0,250.0,71.55543895645901,1.0,1.0,0,98.1,15.7,1473
0,training,1.9kW,random,4,1,0.8940502405166626,0.006553660146892071,590,51.42857437927838,1.9,74.39735053964834,0.0076,0.0076,0.21789970443563192,25.9,15.7,1482
1,training,2.8kW,random,4,1,0.7095532417297363,0.018734224140644073,590,52.1508759614429,2.8,125.37568811596711,0.011199999999999998,0.011199999999999998,0.25605790837360776,6.7,15.7,1482
2,training,7.7kW,random,4,1,0.9222546815872192,0.0056650652550160885,590,55.95219045917444,7.7,70.29903033189586,0.0308,0.0308,0.2889133957855682,70.1,15.7,1482
3,training,11.5kW,random,4,0,0.0,0.0,0,58.89348134318112,11.5,0.0,0.046,0.046,0.0,81.5,15.7,1482
4,training,120.0kW,random,4,0,0.0,0.0,0,100.0,120.0,0.0,0.48,0.48,0.0,15.6,15.7,1482
5,training,250.0kW,random,4,1,0.8945764303207397,0.005903587676584721,590,100.0,250.0,70.76485790541729,1.0,1.0,0.23227963409462557,52.9,15.7,1482
0,evaluation,1.9kW,random,4,0,0.9457173101918704,0.005105930380523205,0,51.73574104594505,1.9,65.66787394232479,0.0076,0.0076,0,6.1,15.7,2064
1,evaluation,2.8kW,random,4,0,0.9332590883612212,0.006435980089008808,0,52.603542628109565,2.8,73.48569731290146,0.011199999999999998,0.011199999999999998,0,84.1,15.7,2064
2,evaluation,7.7kW,random,4,0,0.9469725645656103,0.00506980624049902,0,57.19702379250777,7.7,66.50320212393358,0.0308,0.0308,0,45.6,15.7,2064
3,evaluation,11.5kW,random,4,0,0.9507645743612,0.005483143497258425,0,60.75264800984779,11.5,69.1610665670677,0.046,0.046,0,40.4,15.7,2064
4,evaluation,120.0kW,random,4,0,0.8801738332597759,0.011239336803555489,0,100.0,120.0,98.3826053011056,0.48,0.48,0,73.8,15.7,2064
5,evaluation,250.0kW,random,4,0,0.9456628764300904,0.005388955119997263,0,100.0,250.0,67.61015219581743,1.0,1.0,0,89.8,15.7,2064
0,training,1.9kW,random,5,0,0.0,0.0,0,52.04712993483394,1.9,0.0,0.0076,0.0076,0.0,6.1,15.7,2072
1,training,2.8kW,random,5,1,0.7743885517120361,0.014126300811767578,590,53.01609544508668,2.8,108.87036995398913,0.011199999999999998,0.011199999999999998,0.2827285743769251,7.1,15.8,2072
