,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,towards,1,1,0,0,23,50.01213888888889,1.9,0.0,25.339285714285715,12.669642857142858,0,0,0,30
1,training,2.8kW,towards,1,1,0,0,3,50.00233333333333,2.8,0.0,25.5,12.75,0,0,0,30
0,evaluation,1.9kW,towards,1,0,0.8988603206197157,0.01737554743885994,0,50.14197222222222,1.9,121.13921627825974,25.009869444444444,73.07454286135209,0,53.7,14.1,276
1,evaluation,2.8kW,towards,1,0,0.8691399264222933,0.019477641209959984,0,50.193666666666665,2.8,127.83908527154043,25.006766666666667,76.42292596910355,0,7.5,14.1,276
2,evaluation,7.7kW,towards,1,0,0.0,0.0,0,50.48125,7.7,0.0,25.0154,12.5077,0,0.0,0.0,276
3,evaluation,11.5kW,towards,1,0,0.0,0.0,0,50.65486111111111,11.5,0.0,25.023,12.5115,0,0.0,0.0,276
4,evaluation,120.0kW,towards,1,0,0.0,0.0,0,56.166666666666664,120.0,0.0,25.24,12.62,0,0.0,0.0,276
5,evaluation,250.0kW,towards,1,0,0.0,0.0,0,61.458333333333336,250.0,0.0,25.5,12.75,0,0.0,0.0,276
0,training,1.9kW,towards,2,1,0.12485833466053009,0.06931716948747635,262,50.2654680471307,1.9,241.95573557887093,25.07478611111111,133.51526084499102,0.203110802784307,35.1,14.8,292
1,training,2.8kW,towards,2,1,0.2057502269744873,0.07839050143957138,262,50.37844706958541,2.8,256.46446259839007,25.102433333333334,140.7834479658617,0.26103263165084256,14.1,14.9,292
2,training,7.7kW,towards,2,0,0.0,0.0,0,50.996722222222225,7.7,0.0,25.256025,12.6280125,0.0,0.0,0.0,292
3,training,11.5kW,towards,2,0,0.0,0.0,0,51.36083333333333,11.5,0.0,25.350430555555555,12.675215277777777,0.0,0.0,0.0,292
4,training,120.0kW,towards,2,1,0.0,0.08548712730407715,201,62.85072837187574,120.0,271.33032679786163,28.32333333333333,149.82683006559748,0.2854619962554211,30.1,14.9,292
5,training,250.0kW,towards,2,1,0.04023658111691475,0.06734463572502136,181,74.01695895071812,250.0,239.00728263387256,31.229166666666668,135.1182246502696,0.215181090689295,5.3,14.9,292
0,evaluation,1.9kW,towards,2,0,0.9275375922509457,0.0071960571222007275,0,50.57738471379737,1.9,77.95838119909219,25.13653402356535,51.54745761132877,0,90.0,15.8,883
1,evaluation,2.8kW,towards,2,0,0.9088072099435314,0.00858959648758173,0,50.838113736252076,2.8,84.89494961706718,25.194823534792707,55.044886575929944,0,87.9,15.8,883
2,evaluation,7.7kW,towards,2,0,0.9354857337320341,0.006706245709210634,0,52.26080555555556,7.7,76.48682031503304,25.513761111111112,51.000290713072076,0,6.2,15.9,883
3,evaluation,11.5kW,towards,2,0,0.9319802741886507,0.007492957636713982,0,53.24875,11.5,80.84878819211369,25.703416666666666,53.27610242939018,0,52.6,15.9,883
4,evaluation,120.0kW,towards,2,0,0.8578167791687266,0.015013237483799458,0,82.55072837187573,120.0,113.70646379713139,31.665364185937868,72.68591399153463,0,80.0,15.9,883
5,evaluation,250.0kW,towards,2,0,0.9305321026316468,0.007452667225152254,0,100.0,250.0,79.50885422222089,37.50847947535906,58.50866684878997,0,86.4,15.8,883
0,training,1.9kW,towards,3,0,0.0,0.0,0,50.89352360268626,1.9,0.0,25.292492356898684,12.646246178449342,0.0,90.0,15.8,891
1,training,2.8kW,towards,3,1,0.7446659207344055,0.021499499678611755,599,51.254696175408824,2.8,134.3104024353187,25.42465686812604,79.86752965172238,0.296332586036262,7.6,15.9,891
2,training,7.7kW,towards,3,0,0.0,0.0,0,53.542,7.7,0.0,26.145802777777778,13.072901388888889,0.0,6.2,15.9,891
3,training,11.5kW,towards,3,1,0.8837311863899231,0.00911510456353426,599,55.11895771258151,11.5,89.17183499640731,26.647375,57.909604998203655,0.26002042521965657,62.6,15.9,891
4,training,120.0kW,towards,3,1,0.2752796709537506,0.05067826434969902,599,100.0,120.0,208.90981404838598,41.51536418593787,125.21258911716193,0.28985795864698627,35.5,15.9,891
5,training,250.0kW,towards,3,1,0.8987501263618469,0.009857958182692528,599,100.0,250.0,91.4435580390729,50.5,70.97177901953646,0.20626539386400625,39.5,15.9,891
0,evaluation,1.9kW,towards,3,0,0.9429999623543172,0.005801261402666569,0,51.203329158241814,1.9,69.99656514070873,25.450561801343127,47.723563471025926,0,40.8,15.9,1478
1,evaluation,2.8kW,towards,3,0,0.9277083891989116,0.00732055027037859,0,51.71125173096438,2.8,78.37315629514214,25.632948087704413,52.00305219142328,0,8.0,15.9,1478
2,evaluation,7.7kW,towards,3,0,0.9393104818498034,0.005548323970288038,0,54.79752777777778,7.7,69.57092571918669,26.7864,48.178662859593345,0,75.2,15.9,1478
3,evaluation,11.5kW,towards,3,0,0.9437103593366697,0.006195876281708479,0,56.9940966014704,11.5,73.51877208989607,27.582478856290756,50.55062547309342,0,85.4,15.9,1478
4,evaluation,120.0kW,towards,3,0,0.8749359597493873,0.012925473973155022,0,100.0,120.0,105.5045561959176,50.24,77.8722780979588,0,82.9,15.9,1478
5,evaluation,250.0kW,towards,3,0,0.9443951545974869,0.006407889071851969,0,100.0,250.0,73.72539748415593,50.5,62.11269874207797,0,74.0,15.9,1478
0,training,1.9kW,towards,4,0,0.0,0.0,0,51.51682915824181,1.9,0.0,25.605464579120905,12.802732289560453,0.0,40.8,15.9,1485
1,training,2.8kW,towards,4,1,0.75609290599823,0.01669515110552311,594,52.13877962786091,2.8,118.35610126223234,25.86122586548219,72.10866356385726,0.20892183699071912,7.9,16.0,1485
2,training,7.7kW,towards,4,0,0.0,0.0,0,56.06802777777778,7.7,0.0,27.41416388888889,13.707081944444445,0.0,75.2,15.9,1485
3,training,11.5kW,towards,4,1,0.8931550979614258,0.006332878489047289,594,58.85243253507309,11.5,74.32714542609139,28.5200483007352,51.423596863413294,0.23735797816554388,76.8,16.0,1485
4,training,120.0kW,towards,4,1,0.3888092637062073,0.04317142069339752,594,100.0,120.0,192.81736632996223,50.24,121.52868316498112,0.28484425628882876,50.0,16.0,1485
5,training,250.0kW,towards,4,1,0.8968852162361145,0.006390086375176907,594,100.0,250.0,73.6229125813862,50.5,62.0614562906931,0.2665351596760849,13.1,16.0,1485
0,evaluation,1.9kW,towards,4,0,0.9475808590641662,0.005068573635071516,0,51.82663471379737,1.9,65.4272085436146,25.762214579120904,45.59471156136775,0,51.5,16.0,2072
1,evaluation,2.8kW,towards,4,0,0.9326035001514573,0.0063767703250050545,0,52.595335183416466,2.8,73.14688921490402,26.074989813930458,49.61093951441724,0,8.0,16.0,2072
2,evaluation,7.7kW,towards,4,0,0.9374002439232038,0.005054335109889507,0,57.32355555555556,7.7,66.40165328606489,28.04941388888889,47.22553358747689,0,31.8,16.0,2072
3,evaluation,11.5kW,towards,4,0,0.9475564326292477,0.005396582651883364,0,60.72757142396198,11.5,68.61298168616756,29.449216267536546,49.03109897685205,0,76.6,16.0,2072
4,evaluation,120.0kW,towards,4,0,0.8814229341498586,0.011631221510469913,0,100.0,120.0,100.08307481923465,50.24,75.16153740961732,0,81.0,15.9,2072
5,evaluation,250.0kW,towards,4,0,0.9492599678414431,0.005460232961922884,0,100.0,250.0,68.05581141867629,50.5,59.27790570933814,0,78.7,16.0,2072
0,training,1.9kW,towards,5,0,0.0,0.0,0,52.14066249157515,1.9,0.0,25.917117356898682,12.958558678449341,0.0,51.5,16.0,2080
1,training,2.8kW,towards,5,1,0.7717025876045227,0.01500015426427126,595,53.015124167484814,2.8,112.18720709761156,26.303267591708234,69.2452373446599,0.26010026446043744,7.6,16.0,2080
2,training,7.7kW,towards,5,0,0.0,0.0,0,58.59619444444445,7.7,0.0,28.67717777777778,14.33858888888889,0.0,31.8,16.0,2080
3,training,11.5kW,towards,5,1,0.9008699655532837,0.005921137053519487,595,62.58047683056213,11.5,71.87029591882899,30.38678571198099,51.12854081540499,0.28914375838568984,83.9,16.0,2080
4,training,120.0kW,towards,5,1,0.4438991844654083,0.039188452064991,595,100.0,120.0,183.70756082191394,50.24,116.97378041095698,0.2400482373341632,84.6,16.0,2080
5,training,250.0kW,towards,5,1,0.9116986989974976,0.005560853518545628,595,100.0,250.0,68.68001128002719,50.5,59.590005640013594,0.27872451809601617,12.5,16.0,2080
0,evaluation,1.9kW,towards,5,0,0.9521567770301541,0.004615443758666515,0,52.45099582490848,1.9,62.434155686316046,26.074131245787573,44.25414346605181,0,49.7,16.0,2668
1,evaluation,2.8kW,towards,5,0,0.9358156819991943,0.006011008284986019,0,53.472457500818145,2.8,71.01811436223316,26.513162083742408,48.76563822298779,0,7.6,16.0,2668
2,evaluation,7.7kW,towards,5,0,0.9526942889494512,0.004547803662717342,0,59.853861111111115,7.7,62.986536751860314,29.313497222222225,46.15001698704127,0,49.6,16.0,2668
3,evaluation,11.5kW,towards,5,0,0.952057551800042,0.004946968052536249,0,64.45881016389546,11.5,65.69259670950991,31.313238415281063,48.50291756239549,0,69.9,16.0,2668
4,evaluation,120.0kW,towards,5,0,0.8874718394669195,0.010683360509574413,0,100.0,120.0,95.91839832418665,50.24,73.07919916209333,0,74.5,16.0,2668
5,evaluation,250.0kW,towards,5,0,0.9500619235979872,0.004923633299767971,0,100.0,250.0,64.62528633459571,50.5,57.56264316729786,0,96.3,16.0,2668
0,training,1.9kW,towards,6,0,0.0,0.0,0,52.76555138046404,1.9,0.0,26.22929791245424,13.11464895622712,0.0,49.7,16.0,2676
1,training,2.8kW,towards,6,1,0.7841047644615173,0.013998672366142273,596,53.89622999702926,2.8,108.37744249079635,26.741828750409073,67.55963562060272,0.24030035845639186,7.6,16.0,2676
2,training,7.7kW,towards,6,0,0.0,0.0,0,61.128638888888894,7.7,0.0,29.942330555555557,14.971165277777779,0.0,49.6,16.0,2676
3,training,11.5kW,towards,6,1,0.9108044505119324,0.005446870345622301,596,66.31732814528823,11.5,68.9319231359875,32.252405081947735,50.59216410896762,0.2740524613859707,74.3,16.0,2676
4,training,120.0kW,towards,6,1,0.47774919867515564,0.037848927080631256,596,100.0,120.0,180.5405506223085,50.24,115.39027531115426,0.21906286800772784,44.5,16.0,2676
5,training,250.0kW,towards,6,1,0.9219916462898254,0.005022773984819651,596,100.0,250.0,65.27268056129918,50.5,57.88634028064959,0.255248685516851,26.8,16.0,2676
0,evaluation,1.9kW,towards,6,0,0.9560076323674673,0.004335057456046343,0,53.075356936019595,1.9,60.50801980015505,26.386575690232018,43.44729774519353,0,28.4,16.0,3263
1,evaluation,2.8kW,towards,6,0,0.9394839870088944,0.005529070273041725,0,54.35278555258481,2.8,68.11166997671762,26.95371499851463,47.532692487616124,0,7.7,16.0,3263
2,evaluation,7.7kW,towards,6,0,0.9543917752894945,0.004099296405911446,0,62.38416666666667,7.7,59.80004862435552,30.579719444444446,45.18988403439998,0,73.8,16.0,3263
3,evaluation,11.5kW,towards,6,0,0.9557204896776059,0.004487039055675268,0,68.19246703417711,11.5,62.564330432384985,33.18166407264412,47.87299725251455,0,60.1,16.0,3263
4,evaluation,120.0kW,towards,6,0,0.8962084573244383,0.009925134479999542,0,100.0,120.0,92.45197137986797,50.24,71.34598568993398,0,74.2,16.0,3263
5,evaluation,250.0kW,towards,6,0,0.9536654937295178,0.004642939660698175,0,100.0,250.0,62.7561294275729,50.5,56.62806471378645,0,92.7,16.0,3263
0,training,1.9kW,towards,7,0,0.0,0.0,0,53.38885693601959,1.9,0.0,26.541478468009796,13.270739234004898,0.0,28.4,16.0,3270
1,training,2.8kW,towards,7,1,0.810218334197998,0.012058582156896591,594,54.767571910239525,2.8,100.58740333777897,27.181992776292407,63.884698057035685,0.2861432869411643,17.1,16.0,3270
2,training,7.7kW,towards,7,0,0.0,0.0,0,63.65466666666667,7.7,0.0,31.207483333333336,15.603741666666668,0.0,73.8,16.0,3270
3,training,11.5kW,towards,7,1,0.9177611470222473,0.005089873448014259,594,70.04484879539785,11.5,66.6346879756777,34.11923351708856,50.37696074638313,0.2734438713894217,79.4,16.0,3270
4,training,120.0kW,towards,7,1,0.4854710102081299,0.03787500411272049,594,100.0,120.0,180.60273403746987,50.24,115.42136701873494,0.22630890735310435,79.4,16.0,3270
5,training,250.0kW,towards,7,1,0.9270776510238647,0.0046753427013754845,594,100.0,250.0,62.97473595305853,50.5,56.737367976529264,0.24069659176311084,4.8,16.0,3270
0,evaluation,1.9kW,towards,7,0,0.9534024889635756,0.004005409311503172,0,53.699190269352925,1.9,58.16195056505954,26.698228468009795,42.430089516534665,0,51.7,16.0,3858
1,evaluation,2.8kW,towards,7,0,0.9462660973189586,0.005189492367208004,0,55.224905243572856,2.8,65.98692830902253,27.389385955119764,46.68815713207115,0,8.0,16.0,3858
2,evaluation,7.7kW,towards,7,0,0.954938018209198,0.004033407662063837,0,64.91233333333334,7.7,59.31751321867228,31.842733333333335,45.58012327600281,0,51.1,16.0,3858
3,evaluation,11.5kW,towards,7,0,0.9555465014768395,0.004171238746494055,0,71.92318212873118,11.5,60.322509463189334,35.04542439769893,47.68396693044413,0,80.6,16.0,3858
4,evaluation,120.0kW,towards,7,0,0.90449033813513,0.00906685832887888,0,100.0,120.0,88.36420838267736,50.24,69.30210419133869,0,87.4,16.0,3858
5,evaluation,250.0kW,towards,7,0,0.9541150786474688,0.00452555762603879,0,100.0,250.0,61.95775598154575,50.5,56.22887799077287,0,87.5,16.0,3858
0,training,1.9kW,towards,8,0,0.0,0.0,0,54.01374582490848,1.9,0.0,26.85339513467646,13.42669756733823,0.0,51.7,16.0,3866
1,training,2.8kW,towards,8,1,0.8160632252693176,0.01154280174523592,596,55.65008982361817,2.8,98.41268750090443,27.61805262178643,63.01537006134543,0.2317709930149125,7.2,16.0,3866
2,training,7.7kW,towards,8,0,0.0,0.0,0,66.18711111111111,7.7,0.0,32.47156666666667,16.235783333333334,0.0,51.1,16.0,3866
3,training,11.5kW,towards,8,1,0.9172184467315674,0.0051022423431277275,596,73.77866546054393,11.5,66.71560328350132,35.984591064365596,51.35009717393346,0.2923825595202738,74.6,16.0,3866
4,training,120.0kW,towards,8,1,0.5061096549034119,0.0358101949095726,596,100.0,120.0,175.61083933802428,50.24,112.92541966901214,0.22516951751002195,69.0,16.0,3866
5,training,250.0kW,towards,8,1,0.9275342226028442,0.004575786180794239,596,100.0,250.0,62.30063760334308,50.5,56.40031880167154,0.22440236650335546,13.0,16.0,3866
0,evaluation,1.9kW,towards,8,0,0.958030705826349,0.0037480269093066454,0,54.32355138046404,1.9,56.26221960206449,27.01067291245424,41.636446257259365,0,56.6,16.0,4453
