,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,towards,1,1,0,0,22,50.01161111111111,1.9,0.0,50.0,25.0,0,0,0,30
1,training,2.8kW,towards,1,1,0,0,3,50.00233333333333,2.8,0.0,50.0,25.0,0,0,0,30
0,evaluation,1.9kW,towards,1,0,0.8979451367985202,0.01801370084285736,0,50.1425,1.9,123.34370351803311,50.01161111111111,86.67765731457212,0,6.6,13.4,277
1,evaluation,2.8kW,towards,1,0,0.8628385170988437,0.02106904610991478,0,50.19522222222222,2.8,132.95905216569744,50.00233333333333,91.48069274951538,0,56.6,13.4,277
2,evaluation,7.7kW,towards,1,0,0.0,0.0,0,50.48338888888889,7.7,0.0,50.0,25.0,0,0.0,0.0,277
3,evaluation,11.5kW,towards,1,0,0.0,0.0,0,50.658055555555556,11.5,0.0,50.0,25.0,0,0.0,0.0,277
4,evaluation,120.0kW,towards,1,0,0.0,0.0,0,56.2,120.0,0.0,50.0,25.0,0,0.0,0.0,277
5,evaluation,250.0kW,towards,1,0,0.0,0.0,0,61.52777777777778,250.0,0.0,50.0,25.0,0,0.0,0.0,277
0,training,1.9kW,towards,2,1,0.31412315368652344,0.08456407487392426,265,50.26282889372107,1.9,267.24430702934785,50.1425,158.69340351467392,0.2653433305816268,12.4,14.2,294
1,training,2.8kW,towards,2,1,0.2507156729698181,0.09076453745365143,265,50.38557351567817,2.8,275.9647255315631,50.19522222222222,163.07997387689267,0.21409563607018692,22.0,14.2,294
2,training,7.7kW,towards,2,1,0.3412840962409973,0.08583260327577591,243,50.98374429893154,7.7,273.6358647239846,50.48338888888889,162.05962680643674,0.287327258627449,0.3,14.2,294
3,training,11.5kW,towards,2,1,0.07875271886587143,0.09726296365261078,223,51.356159087216575,11.5,291.28667995659697,50.658055555555556,170.97236775607627,0.23016720188494755,0.2,14.2,294
4,training,120.0kW,towards,2,0,0.0,0.0,0,62.96666666666667,120.0,0.0,56.2,28.1,0.0,0.0,0.0,294
5,training,250.0kW,towards,2,0,0.0,0.0,0,74.23611111111111,250.0,0.0,61.52777777777778,30.76388888888889,0.0,0.0,0.0,294
0,evaluation,1.9kW,towards,2,0,0.9338109012517718,0.006965558975934982,0,50.57632889372107,1.9,76.69967049651923,50.26282889372107,63.481249695120155,0,90.3,15.2,889
1,evaluation,2.8kW,towards,2,0,0.8974381294169116,0.008852211758494377,0,50.84757351567817,2.8,86.1829530083256,50.38557351567817,68.28426326200189,0,89.3,15.2,889
2,evaluation,7.7kW,towards,2,0,0.9325478651852839,0.006513189524412155,0,52.25424429893154,7.7,75.37784794459238,50.98374429893154,63.18079612176196,0,83.0,15.2,889
3,evaluation,11.5kW,towards,2,0,0.9309941014860902,0.007568688131868839,0,53.253659087216576,11.5,81.2563259319825,51.356159087216575,66.30624250959954,0,78.6,15.2,889
4,evaluation,120.0kW,towards,2,0,0.8405076324241817,0.015465429984033108,0,82.76666666666667,120.0,115.40615605490709,62.96666666666667,89.18641136078688,0,7.9,15.2,889
5,evaluation,250.0kW,towards,2,0,0.9259054431411421,0.00751149607822299,0,100.0,250.0,79.8220454817336,74.23611111111111,77.02907829642236,0,29.1,15.2,889
0,training,1.9kW,towards,3,0,0.0,0.0,0,50.89405111594329,1.9,0.0,50.57632889372107,25.288164446860534,0.0,90.3,15.2,897
1,training,2.8kW,towards,3,1,0.6456690430641174,0.02120562084019184,602,51.2723482055078,2.8,133.38929267256802,50.84757351567817,92.11843309412309,0.25981913058695993,8.0,15.2,897
2,training,7.7kW,towards,3,0,0.0,0.0,0,53.54185541004265,7.7,0.0,52.25424429893154,26.12712214946577,0.0,83.0,15.2,897
3,training,11.5kW,towards,3,1,0.8511253595352173,0.00791754387319088,602,55.13027153777193,11.5,83.10786306386,53.253659087216576,68.18076107553829,0.2777328538218011,56.2,15.2,897
4,training,120.0kW,towards,3,1,0.33077335357666016,0.04270622506737709,602,100.0,120.0,191.77569639666044,82.76666666666667,137.27118153166356,0.23735935872685035,53.3,15.2,897
5,training,250.0kW,towards,3,1,0.88593590259552,0.0071227820590138435,602,100.0,250.0,77.72924659688888,100.0,88.86462329844444,0.20671315161960263,19.9,15.2,897
0,evaluation,1.9kW,towards,3,0,0.942750236498584,0.005483955144882202,0,51.20649556038774,1.9,68.05537922248952,50.89405111594329,59.47471516921641,0,55.9,15.2,1488
