,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,towards,1,1,0,0,22,50.01161111111111,1.9,0.0,25.339285714285715,25.339285714285715,0,0,0,30
1,training,2.8kW,towards,1,1,0,0,2,50.001555555555555,2.8,0.0,25.5,25.5,0,0,0,30
0,evaluation,1.9kW,towards,1,0,0.8859300930702695,0.01950916275382042,0,50.14513888888889,1.9,128.36151294110445,25.009605555555552,25.009605555555552,0,7.8,13.3,282
1,evaluation,2.8kW,towards,1,0,0.8671775661962755,0.02106260135769844,0,50.19833333333333,2.8,132.93871537210305,25.00637777777778,25.00637777777778,0,52.1,13.3,282
2,evaluation,7.7kW,towards,1,0,0.0,0.0,0,50.494083333333336,7.7,0.0,25.0154,25.0154,0,0.0,0.0,282
3,evaluation,11.5kW,towards,1,0,0.0,0.0,0,50.67402777777778,11.5,0.0,25.023,25.023,0,0.0,0.0,282
4,evaluation,120.0kW,towards,1,0,0.0,0.0,0,56.36666666666667,120.0,0.0,25.24,25.24,0,0.0,0.0,282
5,evaluation,250.0kW,towards,1,0,0.0,0.0,0,61.875,250.0,0.0,25.5,25.5,0,0.0,0.0,282
0,training,1.9kW,towards,2,0,0.0,0.0,0,50.28922222222222,1.9,0.0,25.076369444444442,25.076369444444442,0.0,7.8,13.3,303
1,training,2.8kW,towards,2,0,0.0,0.0,0,50.410666666666664,2.8,0.0,25.104766666666666,25.104766666666666,0.0,52.1,13.3,303
2,training,7.7kW,towards,2,1,4.651311246561818e-05,0.10083749145269394,251,51.01494043232894,7.7,296.59094843522496,25.262441666666668,25.262441666666668,0.22953961599919048,2.2,14.9,303
3,training,11.5kW,towards,2,1,5.4048479796620086e-05,0.10398232936859131,231,51.39613982446405,11.5,301.1803594503912,25.36001388888889,25.36001388888889,0.24630576592819123,76.0,14.9,303
4,training,120.0kW,towards,2,1,0.0,0.10672154277563095,211,63.38719268208791,120.0,303.16148352600624,28.423333333333332,28.423333333333332,0.21851348096458773,1.2,14.9,303
5,training,250.0kW,towards,2,1,5.559002602240071e-05,0.10110051929950714,191,75.12461316273226,250.0,292.8439953134317,31.4375,31.4375,0.26907127834473893,24.9,14.9,303
0,evaluation,1.9kW,towards,2,0,0.9312124363901754,0.007475839927792549,0,50.60219444444444,1.9,79.45944151110302,25.14841111111111,25.14841111111111,0,90.7,15.0,895
1,evaluation,2.8kW,towards,2,0,0.901724046452264,0.009443064220249653,0,50.87188888888889,2.8,89.01269399577676,25.210933333333333,25.210933333333333,0,91.1,15.0,895
2,evaluation,7.7kW,towards,2,0,0.9346750875563078,0.0072534531354904175,0,52.283301543440054,7.7,79.54617126841417,25.52287021616447,25.52287021616447,0,6.4,15.0,895
3,evaluation,11.5kW,towards,2,0,0.9318042613208846,0.007627573329955339,0,53.290445380019605,11.5,81.57180493176867,25.721069912232025,25.721069912232025,0,53.0,15.0,895
4,evaluation,120.0kW,towards,2,0,0.853616767861256,0.015724943950772285,0,83.15385934875457,120.0,116.370400580654,31.933596341043952,31.933596341043952,0,56.7,15.0,895
5,evaluation,250.0kW,towards,2,0,0.9307972053578805,0.007844674400985241,0,100.0,250.0,81.57312338366185,38.06230658136613,38.06230658136613,0,76.6,15.0,895
0,training,1.9kW,towards,3,0,0.0,0.0,0,50.91886111111111,1.9,0.0,25.30489722222222,25.30489722222222,0.0,90.7,15.0,903
