,learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
0,training,1.9kW,towards,1,1,0,0,23,50.01213888888889,1.9,0.0,50.0,50.0,0,0,0,30
1,training,2.8kW,towards,1,1,0,0,3,50.00233333333333,2.8,0.0,50.0,50.0,0,0,0,30
0,evaluation,1.9kW,towards,1,0,0.8928628259269753,0.020586054772138596,0,50.141444444444446,1.9,131.85666082686967,50.01213888888889,50.01213888888889,0,6.5,13.9,275
1,evaluation,2.8kW,towards,1,0,0.8531901281334181,0.024189287796616554,0,50.19288888888889,2.8,142.4646168754821,50.00233333333333,50.00233333333333,0,57.2,13.9,275
2,evaluation,7.7kW,towards,1,0,0.0,0.0,0,50.47697222222222,7.7,0.0,50.0,50.0,0,0.0,0.0,275
3,evaluation,11.5kW,towards,1,0,0.0,0.0,0,50.651666666666664,11.5,0.0,50.0,50.0,0,0.0,0.0,275
4,evaluation,120.0kW,towards,1,0,0.0,0.0,0,56.1,120.0,0.0,50.0,50.0,0,0.0,0.0,275
5,evaluation,250.0kW,towards,1,0,0.0,0.0,0,61.31944444444444,250.0,0.0,50.0,50.0,0,0.0,0.0,275
0,training,1.9kW,towards,2,1,0.02969552017748356,0.07822824269533157,261,50.258407017912006,1.9,257.0379794485864,50.141444444444446,50.141444444444446,0.2867231245853711,17.8,14.7,290
1,training,2.8kW,towards,2,1,0.13453876972198486,0.11300162971019745,261,50.380875174923546,2.8,307.91994969166814,50.19288888888889,50.19288888888889,0.2070857098668225,22.6,14.7,290
2,training,7.7kW,towards,2,1,0.0468379370868206,0.07837377488613129,239,50.969627189865676,7.7,261.4762565981201,50.47697222222222,50.47697222222222,0.27925571750446754,0.2,14.7,290
3,training,11.5kW,towards,2,1,6.836458487669006e-05,0.0921860933303833,220,51.34202503771222,11.5,283.5826010765115,50.651666666666664,50.651666666666664,0.20322665561812997,0.8,14.7,290
4,training,120.0kW,towards,2,0,0.0,0.0,0,62.733333333333334,120.0,0.0,56.1,56.1,0.0,0.0,0.0,290
5,training,250.0kW,towards,2,0,0.0,0.0,0,73.75,250.0,0.0,61.31944444444444,61.31944444444444,0.0,0.0,0.0,290
0,evaluation,1.9kW,towards,2,0,0.9299837610023897,0.00720868818461895,0,50.569268129023115,1.9,78.02677041817101,50.258407017912006,50.258407017912006,0,76.7,16.0,879
1,evaluation,2.8kW,towards,2,0,0.9004465467932515,0.00939006358385086,0,50.838986286034654,2.8,88.76254384824472,50.380875174923546,50.380875174923546,0,91.3,16.0,879
2,evaluation,7.7kW,towards,2,0,0.9394594799684249,0.0067243375815451145,0,52.229432745421235,7.7,76.58992254393766,50.969627189865676,50.969627189865676,0,81.0,16.0,879
3,evaluation,11.5kW,towards,2,0,0.9279409270207895,0.007387857884168625,0,53.223552815489995,11.5,80.27977424234453,51.34202503771222,51.34202503771222,0,69.0,16.0,879
4,evaluation,120.0kW,towards,2,0,0.8415798002822732,0.01655690371990204,0,82.36666666666667,120.0,119.4091310290805,62.733333333333334,62.733333333333334,0,7.7,16.0,879
5,evaluation,250.0kW,towards,2,0,0.929328848617458,0.007977448403835297,0,100.0,250.0,82.26055440803724,73.75,73.75,0,52.0,16.0,879
